"rank","tier","score","company","country","market","website","type","representative_works","scale","transaction_signal","score_breakdown","deal_types","contact_email","contact_note","contact_url","outreach_angle","next_step","confidence","source_1","source_2","source_3","source_4"
"31","C","56","Electronics Extreme","Thailand / Philippines","Thailand, Philippines, SEA","https://extreme.game/","Regional game publisher","Ragnarok Online; Infestation; Cabal","Official site says originated from Thailand as a game publisher and set up a Philippines regional operation base.","Regional operating partner; genre fit skewed MMORPG/action.","投资/收购信号 11 / 产品契合 10 / 发行/UA/LiveOps 16 / 战略协同 13 / 触达可行性 6","SEA publishing; Localization; Regional operations","未公开公司级邮箱","Use official site/contact and LinkedIn; avoid third-party directory contacts.","https://extreme.game/","Pitch only if they are expanding beyond core MMO/action portfolio.","Wave 4: contact after Thailand/SEA higher-fit publishers.","Medium","Electronics Extreme official - https://extreme.game/","Extreme Thailand site - https://www.extreme.co.th/","Electronics Extreme directory profile - https://www.adapt.io/company/electronics-extreme-",""
"32","C","56","Yggdrazil Group","Thailand","Thailand, global services","https://ygg-cg.com/","Listed CG/game studio and developer","Home Sweet Home; Home Sweet Home: Online; Game & Application unit","Official site has Investor Relations and Global Business Department; game credits include Home Sweet Home series.","Reachable BD emails and public-company route, but product fit is weaker.","投资/收购信号 12 / 产品契合 9 / 发行/UA/LiveOps 12 / 战略协同 13 / 触达可行性 10","Strategic partnership; Co-development; Investment inquiry","globalbd@ygg-cg.com; producer@ygg-cg.com; info@ygg-cg.com","Official global business and producer emails.","https://ygg-cg.com/","Pitch only if they want mobile casual diversification or co-dev/live visual support.","Wave 4: send concise inquiry to globalbd@.","High","Yggdrazil official site - https://ygg-cg.com/","Yggdrazil career/contact - https://ygg-cg.com/cn/career/marketing-game-2-3/","MobyGames Yggdrazil credits - https://www.mobygames.com/company/29841/yggdrazil-group-co-ltd/",""
"33","C","52","Ini3 Digital","Thailand","Thailand","https://www.ini3.co.th/","Online game publisher / service provider","Pangya Thailand; Flyff Thailand; Online game services","Official site says Ini3 is one of Thailand's leading online publishers and a 360 game services expert.","Established Thai publisher; current strategic acquisition capacity unclear.","投资/收购信号 9 / 产品契合 10 / 发行/UA/LiveOps 15 / 战略协同 13 / 触达可行性 5","Thailand publishing; Service partnership","未公开公司级邮箱","Use official contact/social or LinkedIn; no verified BD email surfaced.","https://www.ini3.co.th/who_we_are/","Use only for Thailand publishing or referral, not as primary investor/acquirer.","Wave 4: contact if localized Thailand plan becomes priority.","Medium","Ini3 who we are - https://www.ini3.co.th/who_we_are/","Ini3 Dealroom profile - https://app.dealroom.co/companies/ini3_digital","Ini3 Wikipedia profile - https://en.wikipedia.org/wiki/Ini3_Digital",""
"34","C","51","Kepler Interactive","Singapore / UK","Global premium games","https://www.kepler-interactive.com/","Developer-owned publisher","Sifu; Tchia; Pacific Drive; Clair Obscur: Expedition 33","Profiles describe Kepler as a publisher with London and Singapore hubs and $120M funding from NetEase.","Strong investment/publishing platform, but premium PC/console focus makes mobile F2P fit weak.","投资/收购信号 18 / 产品契合 6 / 发行/UA/LiveOps 11 / 战略协同 10 / 触达可行性 6","Investor referral; Publishing if premium pivot; Strategic intro","pr@kepler-interactive.com","Public email found is PR; do not send detailed transaction data without BD routing.","https://www.kepler-interactive.com/","Low priority unless there is a premium/PC adaptation or buyer-network ask.","Wave 4: use only for network/referral or if product positioning changes.","Medium","Kepler official site - https://www.kepler-interactive.com/","VGC Kepler profile - https://www.videogameschronicle.com/companies/kepler-interactive/","WholesGame Kepler profile - https://wholesgame.com/company/kepler-interactive/",""
"35","C","51","Qeon Interactive","Indonesia","Indonesia","https://www.qeon.com/","Interactive investment / partner platform","Agate investment relationship; Esport King collaboration","Qeon business page showcases Agate as an Indonesian game developer investment/partner and lists contact section.","Better as investor/referral route than publisher; could introduce Agate or Indonesian capital.","投资/收购信号 14 / 产品契合 9 / 发行/UA/LiveOps 11 / 战略协同 12 / 触达可行性 5","Investment referral; Strategic partnership; Indonesia network","Email shown as protected/obfuscated","Use official contact section; no plaintext company email surfaced.","https://www.qeon.com/business","Ask whether Qeon reviews game studio investments or can route to Agate/local strategic partners.","Wave 3 investor lane: concise investor/referral note.","Medium","Qeon business - https://www.qeon.com/business","Qeon Agate page - https://www.qeon.com/business/agate","Agate official site - https://agate.id/",""
"36","C","50","Altitude Games","Philippines","Philippines, global mobile","https://altitude-games.com/","Mobile F2P studio","Dream Defense; Zodiac Pop; Run Run Super V","Official site describes APAC-based mobile studio with 40+ talent and mobile titles.","Relevant mobile craft, but not obvious publisher/acquirer; founder network may help.","投资/收购信号 8 / 产品契合 13 / 发行/UA/LiveOps 12 / 战略协同 12 / 触达可行性 5","Referral; Co-development; Local network","未公开公司级邮箱","Use official site/social; no verified BD email found.","https://altitude-games.com/","Use as Philippines mobile network/referral, not primary buyer.","Wave 4: contact if seeking PH network or co-dev fallback.","Medium","Altitude official site - https://altitude-games.com/","Altitude directory profile - https://www.adapt.io/company/altitude-games-com-1","Philippines game industry reference - https://en.wikipedia.org/wiki/Video_games_in_the_Philippines",""
"37","C","50","Sky Mavis","Vietnam / Singapore","Global Web3 games","https://skymavis.com/","Game studio and Web3 ecosystem investor/operator","Axie Infinity; Ronin ecosystem; Web3 game investments","Market data profiles show fundraising and investments; best known for Axie Infinity and Ronin ecosystem.","Investor/network path, but Web3 strategic fit may be low unless your game has community/economy hooks.","投资/收购信号 12 / 产品契合 7 / 发行/UA/LiveOps 14 / 战略协同 12 / 触达可行性 5","Strategic investment; Ecosystem partnership; Referral","未公开公司级邮箱","Use official contact/social; avoid generic token/community support channels.","https://skymavis.com/","Only approach if open to Web3-adjacent financing/network, not as primary publisher.","Wave 4 investor lane: seek warm intro if other funding channels fail.","Medium","Sky Mavis official site - https://skymavis.com/","Messari Sky Mavis profile - https://messari.io/organization/sky-mavis","SEA game industry report reference - https://www.mdec.my/static/pdf/digitalcontent/SEA-game-industry-report-2021.pdf",""
"38","C","50","Gambir Studio","Indonesia","Indonesia, global mobile/PC","https://gambirstudio.com/","Mobile and PC game developer / publisher","Selera Nusantara; My Minimart Empire; Knight vs Giant","Official site says founded in 2016, 13 games and 10M+ worldwide downloads; directory profile lists 20M installs.","Good Indonesian mobile F2P peer and referral source; small buyer capacity.","投资/收购信号 5 / 产品契合 14 / 发行/UA/LiveOps 12 / 战略协同 11 / 触达可行性 8","Referral; Co-development; Local network","info@gambirstudio.com","Directory lists info@; official site email is protected/obfuscated.","https://gambirstudio.com/","Ask for Indonesian F2P publisher/investor referrals; possible co-dev if buyer talks lag.","Wave 4: short founder-to-founder referral note.","Medium","Gambir official site - https://gambirstudio.com/","Gematsu Gambir profile - https://www.gematsu.com/companies/gambir-studio","GameDev Outsourcing Gambir profile - https://www.gamedevoutsourcing.com/company/gambir-studio",""
"39","C","48","Mighty Bear Games","Singapore","Global mobile / Web3","https://mightybeargames.com/","Mobile and multiplayer game studio","Butter Royale; Mighty Action Heroes","Singapore company/profile sources describe a studio building next-gen massively multiplayer online mobile games.","Gaming VC-backed studio network value; buyer fit uncertain.","投资/收购信号 8 / 产品契合 11 / 发行/UA/LiveOps 12 / 战略协同 12 / 触达可行性 5","Referral; Strategic partnership; Investor intro","未公开公司级邮箱","Use official site/social; Play Ventures portfolio route may be better.","https://mightybeargames.com/","Ask for investor/publisher referral if they are not a fit.","Wave 4: approach through Play Ventures or founder network.","Medium","Mighty Bear official site - https://mightybeargames.com/","Singapore company profile - https://www.sgpbusiness.com/company/Mighty-Bear-Games-Pte-Ltd","IMDA Pixel fact sheet - https://www.imda.gov.sg/-/media/imda/files/sg-digital/annex-e---no-embargo-factsheet-for-pixel.pdf",""
"40","C","46","Streamline Studios","Malaysia / global","Global co-development","https://www.streamline-studios.com/","Game co-development / full-cycle development / live-ops partner","Upin & Ipin Universe; Bake 'n Switch; AAA co-dev credits","Official site says 25 years in continuous game development, with co-development, full game development and live operations.","Operational support rather than buyer; may help preserve product if cash runway requires co-dev or service partnership.","投资/收购信号 8 / 产品契合 8 / 发行/UA/LiveOps 12 / 战略协同 11 / 触达可行性 7","Co-development; Live-ops support; Referral","未公开公司级邮箱","Use official Contact Us flow.","https://www.streamline-studios.com/en/who-we-are","Discuss co-dev/live-ops partnership if acquisition talks are slow and product needs continuation support.","Wave 4: contact only for operational fallback.","High","Streamline who we are - https://www.streamline-studios.com/en/who-we-are","Gematsu Streamline profile - https://www.gematsu.com/companies/streamline-studios","GameCompanies Streamline profile - https://gamecompanies.com/companies/streamline-studios",""
"41","C","44","Ranida Games","Philippines","Philippines","https://www.ranidagames.com/","Indie developer / publisher","PBA Basketball Slam; BAYANI; Vita Fighters","GDAP member page lists game production and publishing services, official contact and company address.","Reachable Philippines studio, but small and genre fit weak.","投资/收购信号 6 / 产品契合 8 / 发行/UA/LiveOps 10 / 战略协同 10 / 触达可行性 10","Referral; Co-development; Philippines network","info@ranidagames.com","GDAP member profile contact email.","https://gdap.org.ph/members/ranida-games/","Use for PH publishing/referral only; do not prioritize for acquisition.","Wave 4: short referral ask after primary targets.","High","GDAP Ranida profile - https://gdap.org.ph/members/ranida-games/","Ranida official site - https://www.ranidagames.com/","Steambase Ranida profile - https://steambase.io/developers/ranida-games",""
"42","C","44","BattleBrew Productions","Singapore","Singapore, global indie","https://www.battle-brew.com/","Game developer / publisher","Cuisineer; Battlesky Brigade; Love in Tiny Spaces","Official site describes Singapore-based creators; FAQ says team has 10 full-time members.","Reachable but likely too small for acquisition; useful for Singapore network/referral.","投资/收购信号 5 / 产品契合 9 / 发行/UA/LiveOps 10 / 战略协同 10 / 触达可行性 10","Referral; Co-development; Indie publishing advice","hello@battle-brew.com","Official site writes hello <at> battle-brew . com.","https://www.battle-brew.com/","Use as Singapore network/referral if needing local game-dev intros.","Wave 4: short referral ask, not KPI-heavy buyer pitch.","High","BattleBrew official site - https://www.battle-brew.com/","BattleBrew FAQ - https://www.battle-brew.com/battlebrew01","Gematsu BattleBrew profile - https://www.gematsu.com/companies/battlebrew-productions",""
"43","C","39","Mojiken Studio / Toge route","Indonesia","Global indie","https://mojikenstudio.com/","Indie developer acquired by Toge","A Space for the Unbound; When the Past Was Around; Divination","Gematsu reports Mojiken is a Surabaya studio and subsidiary of Toge Productions; official site lists inquiries contacts.","Not a buyer; included as evidence of Toge acquisition/network route in Indonesia.","投资/收购信号 9 / 产品契合 5 / 发行/UA/LiveOps 8 / 战略协同 9 / 触达可行性 8","Referral; Toge network; Indonesia indie route","contact@mojikenstudio.com; mojikenstudio@gmail.com","Official site lists both; for business sale, route through Toge first.","https://mojikenstudio.com/","Use only if seeking Indonesian studio-referral context; do not pitch as acquirer.","Wave 4: reference only unless Toge requests studio-level discussion.","High","Mojiken official site - https://mojikenstudio.com/","Gematsu Mojiken profile - https://www.gematsu.com/companies/toge-productions/mojiken-studio","KAORI Toge acquisition report - https://www.kaorinusantara.or.id/newsline/200246/toge-productions-akuisisi-mojiken-studio",""
"44","C","37","Ysbryd Games","Singapore / UK","Global indie","https://www.ysbryd.net/","Indie game publisher","VA-11 Hall-A; World of Horror; Demonschool","Singapore company listings and industry coverage identify Ysbryd as an indie publisher based in Singapore/Britain.","Publisher credibility but weak mobile F2P fit and uncertain investment capacity.","投资/收购信号 8 / 产品契合 5 / 发行/UA/LiveOps 10 / 战略协同 9 / 触达可行性 5","Referral; Indie publishing; Network","未公开公司级邮箱","Use official site/social; verify current submissions policy.","https://www.ysbryd.net/","Low priority unless the game is repositioned as premium narrative/indie.","Wave 4: referral ask only.","Medium","Ysbryd official site - https://www.ysbryd.net/","Singapore company listing - https://www.sgpbusiness.com/company/Ysbryd-Games-Pte-Ltd","IMDA industry briefing reference - https://www.imda.gov.sg/-/media/imda/files/industry-development/call-for-proposals/call-for-proposals-for-sg-games/cfp-industry-briefing-deck.pdf",""
"45","C","33","Passion Republic Games","Malaysia","Global PC/console","https://www.passionrepublic.com/","Game developer / publisher","GigaBash; AAA art production credits","Public game profiles show Passion Republic Games as developer/publisher of GigaBash; Malaysia-based game studio.","Low mobile publishing fit; useful Malaysia network only.","投资/收购信号 5 / 产品契合 5 / 发行/UA/LiveOps 9 / 战略协同 9 / 触达可行性 5","Referral; Co-development; Network","未公开公司级邮箱","Use official contact page/social; verify BD route.","https://www.passionrepublic.com/","Low priority; ask for Malaysia publisher/investor referral if there is a warm path.","Wave 4: referral only.","Medium","Passion Republic official site - https://www.passionrepublic.com/","GigaBash profile - https://en.wikipedia.org/wiki/GigaBash","Steambase Passion Republic publisher - https://steambase.io/publishers/passion-republic-games",""
"46","C","33","Anantarupa Studios","Indonesia","Indonesia","https://www.anantarupa.com/","Game developer / IP studio","Lokapala; Indonesian IP-focused games","LinkedIn says Anantarupa aims to become a foremost developer and publisher of IPs in Southeast Asia.","Very low priority due unclear financial/strategic capacity and local controversy risk from public chatter.","投资/收购信号 4 / 产品契合 8 / 发行/UA/LiveOps 9 / 战略协同 8 / 触达可行性 4","Referral; Local network","未公开公司级邮箱","Use official site/social only; perform extra diligence before any transaction conversation.","https://www.anantarupa.com/","Do not lead with sensitive metrics; use only as local network fallback.","Wave 4: hold unless a trusted intro validates current status.","Low","Anantarupa LinkedIn - https://www.linkedin.com/company/anantarupastudios","Anantarupa official site - https://www.anantarupa.com/","Lokapala public reference - https://play.google.com/store/apps/details?id=com.AnantarupaStudios.Lokapala",""
