Rank,Tier,Score,Company,Country,Region,Website,Type,Representative works,Scale,Signal,Deals,Entry,Contact URL,Email,Email note,Angle,Next step,Confidence,Score breakdown,Sources
31,B,66,UMX Studio,Saudi Arabia,Saudi / GCC,https://umxstudio.co/,Saudi mobile games studio,"King of Steering, Climbing Sand Dune, Drift X",PocketGamer 2025 MENA Top 30 称其 70M+ downloads、2M MAU；2024 年获得 Jetapult 投资。,区域玩家理解强，但品类偏 racing/drift；买方能力需验证。,共研；区域合作；少数投资/转介；产品交流,Leadership；business development,https://umxstudio.co/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官网 contact / LinkedIn。,如果想找 Saudi mobile hit-maker 的反馈，可用美国数据换取产品/市场判断。,B2。低于 Sandsoft/Tamatem/Playhera 优先级。,Medium,12 / 20 / 16 / 12 / 6,https://umxstudio.co/ | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/ | https://saudinow.co/storage/uploads/files/TfmRPetdZAe2fIBNxB0WiuCgXbZjOTcD40Lz2wxs.pdf
32,B,65,Bigger Games,Turkey,Turkey,https://biggergames.com/,mobile casual games studio,"Kitchen Masters, Design Masters / casual portfolio signal",土耳其 mobile games studio；公开 info 邮箱，团队规模中等。,休闲相关，资本能力需验证；适合 B-tier 合作/投资测试。,战略合作；少数投资；团队/资产讨论,Leadership；business development,https://biggergames.com/,info@biggergames.com,官网公开 info@biggergames.com。,用 casual audience 和 US-tested metrics 询问是否有 portfolio fit。,B2。低成本触达。,Medium,10 / 20 / 16 / 12 / 7,https://biggergames.com/ | https://www.linkedin.com/company/bigger-games/ | https://www.crunchbase.com/organization/bigger-games
33,B,65,Medrick,UAE / Iran / Germany,MENA publisher network,https://medrickfze.com/,MENA mobile/PC publisher and developer,"Summon Superheroes, Summon Ancient Heroes, mid-core/F2P portfolio",官网称 2008 年成立，15+ developed games、50+ published games，并有 Dubai 和 Berlin offices。,区域发行经验明确；资本/收购能力未知，适合 B-tier 发行/本地化备选。,MENA 发行；本地化/运营；共研,Publishing / business development,https://medrickfze.com/,info@medrickfze.com,官网公开 info@medrickfze.com。,用 MENA expansion/localization 需求切入，而非一开始谈收购。,B2。先验证当前活跃游戏和发行能力。,Medium,10 / 19 / 16 / 12 / 8,https://medrickfze.com/ | https://www.linkedin.com/company/medrick/ | https://medrickfze.com/game-main-page/
34,B,65,Vplay Games,MENA / Canada,MENA publisher network,https://vplaygames.com/,cross-regional mobile game publisher focused on MENA,"Clash of Queens case study, Clash of Zombies case study, 100+ games powered signal",官网称 Game publisher in the Middle East，提供 art、marketing、localization、support、QA 和 submit your game form。,适合找 MENA publishing/localization/UA 反馈；资本或收购能力不明。,MENA/全球发行；本地化；QA/营销；共研,Submit your game；general inquiries,https://vplaygames.com/contactus/,未公开公司级邮箱（仅官方表单/公司页）,官网 contact 页面显示 general inquiries 邮箱但当前结果脱敏；优先表单。,把项目作为已验证海外数据的 mobile title，让其判断 MENA publishing ROI。,B2。先提交简版，不暴露精确 cohort。,Medium,10 / 19 / 16 / 12 / 8,https://vplaygames.com/ | https://vplaygames.com/contactus/ | https://ca.linkedin.com/company/vplaygames
35,B,64,Gamezop MENA,Bahrain / India,MENA publisher network,https://www.gamezop.com/,instant/casual games distribution platform；MENA regional office,"Gamezop instant games network, Quizzop, SkillClash",PocketGamer 2025 报道其投入 400 万美元拓展 Middle East，并将 Bahrain office 作为 MENA HQ。,不是传统发行商，但 casual distribution、广告变现和区域拓展相关。,MENA 分发/渠道；广告变现合作；潜在小型收购/投资,Business development；MENA office,https://www.gamezop.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官网/LinkedIn。,若需要快速低成本 MENA distribution 试水，可作为渠道线。,B2。不是第一波融资/收购目标。,Medium,12 / 18 / 15 / 12 / 7,https://www.pocketgamer.biz/gamezop-commits-4m-to-expand-in-the-middle-east-with-a-new-office-in-bahrain/ | https://www.gamezop.com/ | https://www.linkedin.com/company/gamezop/
36,B,63,Game Power 7,United Arab Emirates,UAE / Gulf,https://www.pocketgamer.biz/industry/game-power-7/,Arabic online/mobile games publisher and developer,"Arabic Rappelz, Warriors' Line-Up, Sultans Mines, Cardia",官网称 2007 年成立、first Arabic company in publishing/localizing online games、22 countries、5 offices。,阿语 online/MMO/mobile 发行和本地化经验强；Family Island-like 适配中等。,MENA 发行；本地化；共研；区域渠道合作,Business development；marketing/publishing,https://www.pocketgamer.biz/industry/game-power-7/,business@gamepower7.com,Crunchbase/公开资料显示 business@gamepower7.com；官网页面有脱敏邮箱。,如果项目需要 Arabic online/game community 经验，可作为区域发行备选。,B2。先问是否仍评估外部 mobile F2P。,Medium,10 / 17 / 16 / 12 / 8,https://www.pocketgamer.biz/industry/game-power-7/ | https://www.pocketgamer.biz/industry/game-power-7/ | https://www.crunchbase.com/organization/game-power-7
37,B,63,Leango Studio,Canada / MENA network,MENA publisher network,https://leangostudio.com/,mobile game developer and MENA publisher,"Mafioso, Anna's Garden, Merge Legacy, Avangard, The Tasty City",官方 Publish 页面称以 MENA publisher 身份提供 monetization、本地化、营销、社区、QA 等服务。,Family Island-like 若包含 merge/mansion/cooking/casual economy，相邻度较高；资本能力未知。,MENA 发行；本地化/运营；共研,Publishing with Leango；business development,https://leangostudio.com/publish/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官网 publish/contact。,强调 merge/casual/adventure 相邻点，请其判断 MENA 发行和本地化可行性。,B2。适合作为中腰部区域发行备选。,Medium,9 / 20 / 15 / 12 / 7,https://leangostudio.com/publish/ | https://leangostudio.com/ | https://www.linkedin.com/company/leango-studio/
38,B,62,Beach Bum / Voodoo Israel,Israel / France,Israel,https://www.bbumgames.com/,Voodoo-owned casual board/card mobile studio,"Lord of the Board, Spades Royale, Gin Rummy Stars, Domino Go",Voodoo 2021 年收购 Beach Bum；TechCrunch 称 Beach Bum 当时约 150 人并有数千万美元收入。,IAP、社交、evergreen casual 经验强；需要走 Voodoo/Beach Bum 路线。,Voodoo 路线合作/发行；共研；资产讨论,Voodoo corporate/publishing；Beach Bum leadership,https://www.bbumgames.com/about-us/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级 BD 邮箱；建议走 Voodoo/LinkedIn。,如果项目社交/evergreen 玩法较强，可与其 board/card IAP 经验建立类比。,B2。作为 Israel casual M&A map 补充。,Medium,12 / 17 / 16 / 12 / 5,https://www.bbumgames.com/about-us/ | https://techcrunch.com/2021/09/30/mobile-gaming-company-voodoo-acquires-beach-bum/ | https://www.gamespress.com/es/Voodoo-acquires-mobile-board-and-card-games-leader-Beach-Bum-a-major-s
39,B,62,Papaya Gaming,Israel,Israel,https://www.papayagaming.com/,mobile skill/casual games company,"Bingo Cash, Solitaire Cash, Bubble Cash",大型 skill/casual mobile company；投放、竞技和变现能力强。,移动投放和休闲用户能力强，但 business model 与 Family Island-like 偏离。,产品/UA 交流；轻量投资；共研,Leadership；business development,https://www.papayagaming.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官方联系入口。,只有在想强调 UA/retention/skill-like competition 时触达。,C1/B2。低于 Playtika/Moon/Candivore。,Medium,9 / 18 / 18 / 11 / 6,https://www.papayagaming.com/ | https://www.papayagaming.com/ | https://www.linkedin.com/company/papaya-gaming
40,B,62,The Games Fund,UAE / Global,Regional investor,https://gamesfund.vc/,games-focused venture fund with MENA relevance,"Hypemasters, Game Garden, Red Rover, other global games portfolio",games-focused VC；MENA/Abu Dhabi connection and portfolio signals。,偏早期 VC，不直接发行；若需要游戏专项投资和买方转介，可纳入融资线。,股权投资；桥接融资；发行/买方转介,Investment team；portfolio warm intro,https://gamesfund.vc/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级 pitch 邮箱；使用官网/LinkedIn。,投资人版：验证数据、资金缺口、下一阶段 KPI 里程碑和可退出路径。,B2。融资并行线，不替代发行商。,Medium,22 / 12 / 8 / 13 / 7,https://gamesfund.vc/ | https://gamesfund.vc/ | https://www.pocketgamer.biz/games-majlis-unites-experts-to-transform-middle-east-mobile-games-industry/
41,B,60,Loop Games,Turkey,Turkey,https://loopgames.net/,mobile casual/puzzle studio,"Match 3D, Zen Match, casual puzzle titles",中型 mobile casual studio；益智和休闲用户基础。,休闲相关，投资/收购能力需验证；适合作为土耳其 mobile casual 生态补充。,共研；轻量投资；产品交流；发行测试,Leadership；business development,https://loopgames.net/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；使用官方联系入口。,用休闲用户和测试数据做低摩擦触达。,C1/B2。低优先但可批量邮件。,Medium,8 / 20 / 15 / 11 / 6,https://loopgames.net/ | https://loopgames.net/ | https://www.linkedin.com/company/loop-games/
42,C,59,Manga Productions,Saudi Arabia,Saudi / GCC,https://manga.com.sa/,"Misk Foundation subsidiary focused on anime, games, comics and IP","Future's Folktales games, UFO Robot Grendizer MENA publishing/distribution, Ghoul's Cave","Misk 体系；官方称支持 Saudi/Arab startups and talents in comics, animation and video games。",不是传统 mobile F2P 买方，但 Saudi IP/creative sector 资源强。,IP/内容合作；MENA 发行；共研；生态引荐,Business development；Misk/Manga leadership,https://manga.com.sa/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级游戏 BD 邮箱；使用官网/LinkedIn。,除非游戏有 Arab culture/IP 改造空间，否则不作为首轮资金买方。,C1/B2。适合后续 Saudi strategic ecosystem outreach。,Medium,12 / 13 / 14 / 13 / 7,https://manga.com.sa/about-us/ | https://manga.com.sa/news/manga-productions-signs-agreement-with-nine66-to-publish-futures-folktales-hopper-quest-game-based-on-saudi-anime-series/ | https://www.zawya.com/en/press-release/companies-news/manga-productions-signs-an-agreement-with-french-company-microids-e2bt0uq4
