rank,tier,company,country,hq,website,company_scale,representative_works,contact_email,email_note,archetype,industry_position,family_island_fit,deal_types,best_entry,contact,score,next_step,source_1,source_2,source_3,source_4
30,C,GameMill Entertainment,US,"Minneapolis, MN",https://gamemill.com/,官网披露 50+ years combined experience、millions of units sold、global publishing partner。,"Nickelodeon All-Star Brawl 2, Nickelodeon Kart Racers, Hot Wheels Monster Trucks, The Walking Dead Destinies, Avatar: The Last Airbender: Quest for Balance",未找到公开邮箱；使用官网 Developer Contact / Licensor Contact forms,官网 Contact 页分 Developer/Licensor opportunities，但不直接列邮箱。,授权/IP 游戏发行商,美国授权/IP 游戏发行商，更多偏 console/PC/licensed games，不是典型移动休闲发行商。,除非项目可以绑定 IP 或多平台化，否则适配度一般。,发行；IP合作；项目合作,Publishing / licensing,官网 contact / LinkedIn,57,第三波后段触达。可以作为 IP/发行资源补充。,https://gamemill.com/,https://gamemill.com/games/,https://gamemill.com/contact/,
31,C,Skybound Games,US,"Los Angeles, CA",https://www.skybound.com/games,Skybound Entertainment 游戏发行部门；IP/creator-led publisher，母公司覆盖 comics/TV/games。,"The Walking Dead: The Telltale Definitive Series, WrestleQuest, Before Your Eyes, Invincible Presents: Atom Eve, Glitch Busters",swynne@skybound.com; webstore@skybound.com,公开新闻稿列 PR 联系 swynne@；webstore@ 为商店支持，不适合 BD。,IP/独立游戏发行商,Skybound 具备 IP 和游戏发行能力，但重心不在移动 F2P 发行。,若项目能往 IP/cozy adventure 方向包装，可试探；否则不是优先买方。,发行；IP合作；联合开发,Games publishing / business development,官网 / LinkedIn,56,第三波后段。更适合平台发行或 IP 合作口径。,https://www.skybound.com/games,https://www.skybound.com/about,https://www.skybound.com/contact,https://mb.cision.com/Main/14632/2410871/764821.pdf
32,C,DoubleDown Interactive,US / Korea,"Seattle, WA / Seoul",https://www.doubledowninteractive.com/,纳斯达克上市/韩国控股 social casino 公司；公开 IR 资料为上市公司级别。,"DoubleDown Casino, DoubleDown Fort Knox, DoubleDown Classic Slots, Ellen's Road to Riches",IR@doubledown.com; DDI@jcir.com; support@doubledowncasino.com,IR 页面公开公司 IR 与 JCIR 邮箱；玩家支持用 support@。,社交 casino 移动公司,社交 casino 发行/运营公司，公开上市，资金能力有但品类偏差较大。,只适合作为低优先级拓展；项目需强调休闲用户和美国指标，而不是玩法相似。,收购；战略合作；投资可能性低,Corporate Development / IR / leadership,官网 contact / IR,55,第三波后段。若没有社交 casino 关系，暂缓。,https://www.doubledowninteractive.com/,https://ir.doubledowninteractive.com/,https://www.doubledowninteractive.com/games/,https://ir.doubledowninteractive.com/ir-services/contact-ir?mobile=1
33,C,Maximum Entertainment / Modus Games,US / Sweden,"Walnut Creek, CA / Stockholm",https://maximument.com/,上市多平台发行/开发集团；Maximum/Modus/Merge/Just For Games 整合后运营。,"Squirrel with a Gun, Diesel Legacy, Trine 5, Afterimage, Smalland, Them's Fightin' Herds, Double Dragon Gaiden",ir@maximument.com,官网 Contact 页公开 IR 邮箱；一般/发行合作主要走表单。,中型多平台发行商,多平台发行商，偏 PC/console 和 indie/AA，不是移动 F2P 发行核心。,若项目有多平台化或 premium 版本路径，可进入讨论；纯移动买量合作适配一般。,发行；联合开发；平台发行,Publishing / submissions,官网 contact / LinkedIn,54,低优先级。除非产品策略准备做多平台。,https://maximument.com/,https://modusgames.com/,https://maximument.com/games/,https://maximument.com/contact/
34,C,Hi-Rez Studios,US,"Alpharetta, GA",https://www.hirezstudios.com/,公开资料显示 450+ employees；F2P games-as-a-service 工作室。,"SMITE, Paladins, Rogue Company, Realm Royale, Tribes: Ascend, Divine Knockout",info@hirezstudios.com; bizdev@hirezstudios.com; pr@hirezstudios.com; legal@hirezstudios.com,公开资料列 info/bizdev；官网隐私文件列 legal@；需先验证当前响应性。,F2P 在线游戏开发发行商,美国 F2P 在线游戏公司，强项在多人竞技和 live service，不是休闲模拟。,数据优秀也可试探，但品类差异明显。,联合开发；发行可能性低；团队合作,Business Development / leadership,官网 / LinkedIn,53,仅作备选名单，不进入第一轮。,https://www.hirezstudios.com/,https://www.hirezstudios.com/games/,https://www.hirezstudios.com/contact/,https://www.hirezstudios.com/about
35,C,1Up Ventures,US,"Kirkland, WA",https://www.1up.vc/,游戏专项早期基金；官网说明标准化投资额/比例，不做 lead investor。,投资/组合：独立游戏与内容型 studio；具体 portfolio 需在官网逐项核验。,未找到公开邮箱；使用 1Up Fund 官网 Contact Us / studio submission form,官网明确让融资团队填表提交，不列通用邮箱。,游戏投资机构,专注游戏的早期投资基金，规模小于 Griffin/BITKRAFT，但对游戏团队更垂直。,适合早期融资或买方转介，尤其在资金缺口较小且数据可验证时。,早期投资；桥接融资；战略转介,Investment team,官网 / partner LinkedIn,53,投资线补充对象。适合短邮件和 1-page teaser。,https://www.1up.vc/,https://www.1up.vc/portfolio,https://www.1up.vc/team,https://1upfund.com/contact-us/
36,C,Electronic Arts Mobile,US,"Redwood City, CA",https://www.ea.com/games/library/mobile,EA 为全球大型上市游戏公司；Q2 FY26 公告提及 $55B 私有化交易企业价值；移动部门是集团业务线之一。,"EA SPORTS FC Mobile, Madden NFL Mobile, The Sims Mobile, Plants vs. Zombies, Star Wars: Galaxy of Heroes, Golf Clash",ir@ea.com; auerkwitz@ea.com; jhiggs@ea.com,EA IR 页面公开 ir@；财报新闻稿列 IR/Comms 联系人邮箱。,战略上限参照,北美游戏巨头的移动业务，地位远高于本次对标层级；可作为 stretch target，而不是核心对标。,除非数据非常好或团队有强引荐，否则冷启动机会低。,收购；战略合作；发行可能性低,Corporate Development / EA Mobile leadership,官网 / LinkedIn / 投行或行业转介绍,52,低优先级 stretch。先做 warm intro，不建议冷邮件首批发送。,https://www.ea.com/games/library/mobile,https://www.ea.com/news/electronic-arts-completes-acquisition-of-glu-mobile,https://ir.ea.com/,https://ir.ea.com/resources/connect-with-us/default.aspx
37,C,Annapurna Interactive,US,"Los Angeles, CA",https://annapurnainteractive.com/,Annapurna Pictures 旗下精品发行 label，2016 年成立；发行 portfolio 覆盖多平台 premium hits。,"Stray, Outer Wilds, Neon White, What Remains of Edith Finch, Journey, Cocoon, Donut County, Kentucky Route Zero",contact@annapurnainteractive.com; help@annapurnainteractive.com; annapurna@tarabrunopr.com,官网 About 页公开 general/support/press 邮箱。,精品独立游戏发行商,美国精品独立发行商，品牌强但不做典型移动 F2P 买量发行。,如果项目能改造成 premium/cozy narrative 体验才有一定适配；当前 Family Island 类 F2P 适配低。,平台发行；精品发行；IP/内容合作,Publishing submissions,官网 contact / submissions,51,仅作低优先级拓展。除非产品策略变化，不建议进入第一二波。,https://annapurnainteractive.com/en,https://annapurnainteractive.com/en/games,https://annapurnainteractive.com/en/contact,https://annapurnainteractive.com/about
38,C,Devolver Digital,US / UK,"Austin, TX / London",https://www.devolverdigital.com/,上市独立游戏发行商；Steam publisher follower 40 万+；premium indie publishing 强品牌。,"Cult of the Lamb, Enter the Gungeon, Hotline Miami, Inscryption, Loop Hero, The Talos Principle, Reigns",fork@devolverdigital.com; support@devolverdigital.com,官方 merch/contact 页说明 pitches/CVs 发 fork@，支持发 support@；另有 pitch portal。,独立游戏发行商,知名独立发行商，更多面向 PC/console premium/indie；不适合当北美移动发行对标。,除非项目完全转成 premium indie/cozy，不建议优先。,平台发行；发行合作,Submissions / publishing,官网 submissions / LinkedIn,49,观察名单。当前不建议进入现金流救急外联首批。,https://www.devolverdigital.com/,https://www.devolverdigital.com/games,https://www.devolverdigital.com/contact,https://merch.devolverdigital.com/pages/contact-us
39,C,tinyBuild,US / Netherlands,"Seattle, WA / Amsterdam",https://www.tinybuild.com/,AIM 上市/多平台发行开发集团；2024 年重组后仍运营多个内部 studio 和外部发行合作。,"Hello Neighbor, Graveyard Keeper, Potion Craft, SpeedRunners, Tinykin, Kill It With Fire, Streets of Rogue",investorrelations@tinybuild.com,投资者网站公开 investorrelations@；发行/商务建议官网 Contact/LinkedIn。,中型独立游戏发行/开发集团,有美国根基的多平台发行/开发集团，行业地位像中型游戏发行公司，但移动 F2P 不是核心。,如果未来做 PC/console cozy sim，可试；当前移动 Family Island 类适配低。,发行；IP合作；项目收购可能性低,Publishing / submissions,官网 submissions / LinkedIn,48,观察名单。只在产品策略多平台化后触达。,https://www.tinybuild.com/,https://www.tinybuild.com/games,https://www.tinybuildinvestors.com/,https://www.tinybuildinvestors.com/regulatory-news
40,C,Netflix Games,US,"Los Gatos, CA",https://about.netflix.com/en/news/games,Netflix Games 官网披露 120+ mobile games；Netflix 为全球订阅娱乐平台，游戏是平台内容业务线。,"Cozy Grove: Camp Spirit, Oxenfree, Oxenfree II, Spiritfarer, Into the Breach, Storyteller, GTA Trilogy mobile",未公开游戏 BD 邮箱；press 使用 Netflix Media Center contact form；Next Games 可用 info@nextgames.com,Netflix Media Center 不接受 unsolicited materials；如找 Netflix-owned Next Games，可走 info@nextgames.com。,平台型内容买方,不是传统发行商，但作为平台型内容买方和游戏投资/收购方，可能对 mobile/casual content 有选择性兴趣。,若项目能服务 Netflix 订阅生态、家庭/cozy 用户或 IP 合作，可作为特殊渠道尝试。,内容授权；收购；发行/平台合作,Games content / business development / corporate development,LinkedIn / warm intro / Netflix games leadership,47,非首批。除非有强引荐或项目可绑定订阅平台逻辑。,https://about.netflix.com/en/news/games,https://www.netflix.com/tudum/articles/netflix-games,https://jobs.netflix.com/teams/games,https://media.netflix.com/en/contact-us
