ID,Tier,Priority Rank,Company,Country,HQ,Website,Entity Type,Key Games / Publishing Cases,Strategic Fit (30),Investment/M&A Signal (25),Casual/Relevance (20),Funds/Publishing (15),Reachability (10),Total Score,Possible Deal Types,Best Entry / Department,Public Contact / Entrance,Contact URL,Recommended Angle,Evidence Note,Source 1,Source 2,Source 3,Source Count,Confidence,Next Step,Outreach Status,Last Verified,Owner,Notes,Company Scale,Representative Works,Public Contact Email,Email Note
KR-029,B,29,HAEGIN,Korea,"Seoul, Korea",https://haegin.kr/,Mobile game developer/publisher,"Play Together, Homerun Clash, casual/social mobile games",15,9,17,10,7,58,Publishing; strategic collaboration; investment if strategic,Business Development; Publishing,Official contact; LinkedIn,https://haegin.kr/contact,Strong audience/genre adjacency through casual social mobile; likely partner rather than acquirer.,Official site lists casual/social mobile portfolio.,https://haegin.kr/,https://haegin.kr/games,https://www.linkedin.com/company/haegin/,3,Medium,B wave; lead with genre/audience overlap and US metrics.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Play Together, Homerun Clash, casual/social mobile games",biz@haegin.kr,官网公开 biz 邮箱。
KR-030,B,30,Nexon Korea / Nexon,Korea,"Seongnam/Tokyo, Korea/Japan",https://www.nexon.com/,Public global game publisher,"MapleStory, Dungeon&Fighter, mobile/PC portfolio; global investments/acquisitions",14,14,10,15,5,58,Strategic investment; acquisition; publishing,Corporate Development; New Games; Mobile Publishing,Corporate/IR contact; LinkedIn,https://ir.nexon.co.jp/en/,Fit is mostly strategic diversification; needs exceptional KPI proof.,"Official IR/company pages show global portfolio, M&A and IP focus.",https://www.nexon.com/,https://ir.nexon.co.jp/en/,https://www.nexon.com/main/en/game,3,High,Approach only with warm intro or after stronger casual-first buyers.,Not Started,2026-06-02,,,全球大型上市游戏公司；年收入数千亿日元级，员工数千人级。,"MapleStory, Dungeon&Fighter, mobile/PC portfolio; global investments/acquisitions",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://ir.nexon.co.jp/en/
JP-031,B,31,Aniplex,Japan,"Tokyo, Japan",https://www.aniplex.co.jp/eng/,Sony Music anime/game publisher,"Fate/Grand Order, Disney Twisted-Wonderland, anime IP mobile games",15,10,13,13,6,57,IP partnership; publishing; co-development,Game business; IP licensing; Production,Corporate inquiry; Sony/Aniplex contact,https://www.aniplex.co.jp/eng/contact/,Use if the game has character/IP roadmap; otherwise not a pure casual buyer.,Official site lists games and anime IP; FGO/Twisted-Wonderland demonstrate mobile publishing capability.,https://www.aniplex.co.jp/eng/,https://www.aniplex.co.jp/eng/game.html,https://www.sonymusic.co.jp/eng/,3,High,Send later unless deck emphasizes characters/world.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Fate/Grand Order, Disney Twisted-Wonderland, anime IP mobile games",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.aniplex.co.jp/eng/contact/
KR-032,B,32,Devsisters,Korea,"Seoul, Korea",https://www.devsisters.com/en,Public mobile game developer/publisher,CookieRun franchise; global mobile live-service and IP business,14,10,14,12,7,57,Publishing; strategic partnership; IP collaboration,Global Business; Publishing; Corporate Strategy,Corporate inquiry; IR,https://www.devsisters.com/en/contact,Pitch as casual F2P team with US proof; buyer fit depends on portfolio diversification appetite.,"Official site lists CookieRun franchise, global business and investor/company info.",https://www.devsisters.com/en,https://www.devsisters.com/en/games,https://www.devsisters.com/en/ir,3,High,B wave; use casual audience fit.,Not Started,2026-06-02,,,上市移动游戏/IP公司；CookieRun 系列全球化，年收入千亿韩元级。,CookieRun franchise; global mobile live-service and IP business,biz@devsisters.com; bplan@devsisters.com; pr@devsisters.com; ir@devsisters.com,官网 Contact 页面公开业务/事业/PR/IR邮箱；BD优先 biz@ 或 bplan@。
KR-033,B,33,Wemade Play,Korea,"Seongnam, Korea",https://www.wemadeplay.com/,Casual/mobile game publisher under Wemade group,Anipang franchise; casual puzzle/mobile portfolio,15,9,17,9,7,57,Publishing; co-development; strategic partnership,Casual game business; BD,Corporate contact; parent route,https://www.wemadeplay.com/,Casual-game fit is good; investment capacity likely smaller than parent.,Official site lists Anipang/casual mobile portfolio and company details.,https://www.wemadeplay.com/,https://www.wemadeplay.com/game,https://www.wemade.com/en,3,Medium,B wave; frame as casual expansion partner.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,Anipang franchise; casual puzzle/mobile portfolio,contact@wemade.com; ir@wemade.com,母公司 Wemade 官网公开邮箱；建议备注转 Wemade Play/casual team。
JP-034,B,34,Koei Tecmo Games,Japan,"Yokohama, Japan",https://www.koeitecmo.co.jp/e/,Public game publisher/developer,"Romance of the Three Kingdoms, Atelier, mobile adaptations",14,11,12,13,6,56,Publishing; co-development; IP partnership,Global Business; Mobile/Game Production,Corporate contact; IR,https://www.koeitecmo.co.jp/e/contact/,Only if product can be localized with strong character/world progression hooks.,Official site and IR confirm game publishing/development and global sales.,https://www.koeitecmo.co.jp/e/,https://www.koeitecmo.co.jp/e/ir/,https://www.koeitecmoamerica.com/,3,High,Send after A-list; keep ask to publishing review.,Not Started,2026-06-02,,,上市游戏集团核心子公司；集团年收入数百亿日元级。,"Romance of the Three Kingdoms, Atelier, mobile adaptations",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.koeitecmo.co.jp/e/contact/
JP-035,B,35,Bushiroad,Japan,"Tokyo, Japan",https://bushiroad.co.jp/en/,Public IP/card/mobile game company,"BanG Dream!, D4DJ, card games, mobile games",14,10,13,11,7,55,Publishing; IP partnership; co-development,Game business; IP/content business,Corporate inquiry; IR,https://bushiroad.co.jp/en/contact/,Better fit if game can support character/content expansion or Japan operation.,"Official site lists game, IP, and mobile entertainment businesses.",https://bushiroad.co.jp/en/,https://bushiroad.co.jp/en/company/,https://bushiroad.co.jp/en/ir/,3,High,Approach as B-tier Japan/IP publisher.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,"BanG Dream!, D4DJ, card games, mobile games",ir@bushiroad.com; support@bushiroad.com,英文 Contact 页面公开 IR/support 邮箱；非发行BD专属，建议邮件请求转给游戏业务/投资合作负责人。
JP-036,B,36,Capcom,Japan,"Osaka, Japan",https://www.capcom.co.jp/ir/english/,Public game publisher/developer,"Monster Hunter, Resident Evil, mobile licensing/collaboration",14,10,11,15,5,55,IP collaboration; publishing; strategic partnership,Mobile/licensing; Corporate Planning,Corporate inquiry; IR,https://www.capcom-games.com/en-us/contact/,Low direct buyer fit unless there is IP/collaboration potential; use as opportunistic target.,Official IR and product sites cover global game portfolio and mobile titles/licensing.,https://www.capcom.co.jp/ir/english/,https://www.capcom-games.com/en-us/,https://www.capcom.co.jp/ir/english/business/mobile.html,3,High,Only pursue with warm intro or strong reason.,Not Started,2026-06-02,,,大型上市游戏公司；年收入千亿日元级，高利润全球发行商。,"Monster Hunter, Resident Evil, mobile licensing/collaboration",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.capcom-games.com/en-us/contact/
KR-037,B,37,BitMango,Korea,"Seongnam, Korea",https://www.bitmango.com/,Mobile casual puzzle publisher/developer,"Word Cookies, Roll the Ball; casual puzzle portfolio",14,7,18,9,7,55,Publishing; UA/test partnership; revenue share,Publishing; Developer Relations,Official contact; LinkedIn,https://www.bitmango.com/contact,Good casual mobile operator; less likely strategic acquisition but useful as publisher/operator.,Official site lists casual mobile game portfolio.,https://www.bitmango.com/,https://www.bitmango.com/games,https://www.linkedin.com/company/bitmango/,3,Medium,B/C wave; ask for publishing and UA support.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,"Word Cookies, Roll the Ball; casual puzzle portfolio",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.bitmango.com/contact
KR-038,B,38,NHN,Korea,"Seongnam, Korea",https://www.nhn.com/en,Public internet/game company,"Hangame, mobile/PC game services; NHN PlayArt Japan",14,10,12,12,7,55,Publishing; Japan/Korea operation; strategic partnership,Game business; Global business,Corporate contact; IR,https://www.nhn.com/en/contact,Potential regional publishing/operator for Korea/Japan with platform capabilities.,Official site covers game business and global subsidiaries.,https://www.nhn.com/en,https://www.nhn.com/en/business/game,https://www.nhn.com/en/ir,3,High,B wave; ask for game business review.,Not Started,2026-06-02,,,上市互联网/游戏集团；集团年收入万亿韩元级，游戏为业务板块之一。,"Hangame, mobile/PC game services; NHN PlayArt Japan",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.nhn.com/en/contact
KR-039,B,39,Springcomes,Korea,"Seoul, Korea",https://springcomes.com/,Mobile casual game studio,Merge and casual titles; acquired/targeted in NC casual ecosystem,14,8,18,8,6,54,Partner intro; publishing via parent/NC; peer benchmark,Business Development; parent ecosystem,Official contact; NC route,https://springcomes.com/,"Not a standalone buyer if ownership changed, but useful for NC casual ecosystem mapping.",Official site lists casual mobile titles; NC official release names Springcomes as mobile casual studio.,https://springcomes.com/,https://about.ncsoft.com/en/news/article/news_update_251222,https://about.ncsoft.com/en/news/article/news_update_260312,3,Medium,Do not cold pitch separately if targeting NCSOFT; use as evidence for NC fit.,Not Started,2026-06-02,,,中小型休闲手游公司；公开公司资料常见规模约51-200人级。,Merge and casual titles; acquired/targeted in NC casual ecosystem,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://springcomes.com/
JP-040,B,40,Happy Elements K.K.,Japan,"Kyoto/Tokyo, Japan",https://www.happyelements.co.jp/en/,Mobile game developer/publisher,"Ensemble Stars!!, Merc Storia; Japan mobile live service",14,9,14,10,6,53,Publishing; co-development; Japan operation,Business Development; Game Production,Corporate contact; LinkedIn,https://www.happyelements.co.jp/en/contact/,"Pitch only if looking for Japan operation or live-service expertise, not acquisition first.",Official site lists mobile game portfolio and company profile.,https://www.happyelements.co.jp/en/,https://www.happyelements.co.jp/en/games/,https://www.linkedin.com/company/happy-elements-k-k-/,3,Medium,Use after A/B top batch; direct BD/contact form.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Ensemble Stars!!, Merc Storia; Japan mobile live service",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.happyelements.co.jp/en/contact/
JP-041,B,41,Nintendo,Japan,"Kyoto, Japan",https://www.nintendo.co.jp/corporate/en/,Public platform/IP owner and publisher,Nintendo mobile collaborations; Animal Crossing/Pikmin/Fire Emblem mobile history,13,9,12,15,4,53,Strategic partnership; unlikely acquisition/publishing,Mobile/IP partnership; Business Development,Corporate contact; investor relations,https://www.nintendo.co.jp/corporate/en/contact/index.html,Very low-probability; relevant only if the team has exceptional cozy simulation IP/design proof.,Official corporate materials cover mobile/IP strategy but external publishing appetite is limited.,https://www.nintendo.co.jp/corporate/en/,https://www.nintendo.co.jp/ir/en/,https://www.nintendo.com/us/store/mobile-games/,3,High,Do not include in first cold batch unless a warm intro exists.,Not Started,2026-06-02,,,全球头部上市游戏/IP公司；年收入万亿日元级，员工数数千人级。,Nintendo mobile collaborations; Animal Crossing/Pikmin/Fire Emblem mobile history,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.nintendo.co.jp/corporate/en/contact/index.html
KR-042,B,42,Gravity,Korea,"Seoul, Korea",https://www.gravity.co.kr/en,Public game publisher/developer,Ragnarok IP mobile/PC global publishing; regional operations,13,10,11,12,7,53,Publishing; regional launch; IP/game partnership,Global business; Publishing,Corporate contact; IR,https://www.gravity.co.kr/en/company/contact.asp,"A regional publishing candidate, not first-choice investor.",Official site lists global game business and Ragnarok mobile/PC portfolio.,https://www.gravity.co.kr/en,https://www.gravity.co.kr/en/games/games.asp,https://www.gravity.co.kr/en/ir/ir.asp,3,High,B wave; ask for global publishing evaluation.,Not Started,2026-06-02,,,NASDAQ上市游戏公司；Ragnarok IP 全球发行，年收入千亿韩元级。,Ragnarok IP mobile/PC global publishing; regional operations,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.gravity.co.kr/en/company/contact.asp
KR-043,B,43,Mobirix,Korea,"Seoul, Korea",https://www.mobirix.com/,Public mobile game publisher/developer,Large catalog of casual/arcade/mobile titles,13,7,17,9,7,53,Publishing; global distribution; revenue share,Publishing; Business Development,Official contact; IR,https://www.mobirix.com/contact,Catalog publisher fit; likely tactical publishing more than acquisition.,Official site lists large mobile game portfolio and company/IR info.,https://www.mobirix.com/,https://www.mobirix.com/game,https://www.mobirix.com/ir,3,Medium,B/C wave; use concise metrics and ask for catalogue publishing review.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,Large catalog of casual/arcade/mobile titles,master@mobirix.com,官网公开通用邮箱。
JP-044,B,44,Pokelabo,Japan,"Tokyo, Japan",https://pokelabo.co.jp/en/,Mobile game brand under GREE/WFS,"SINoALICE, Assault Lily Last Bullet; live-service mobile games",14,8,14,10,6,52,Co-development; publishing via GREE/WFS,WFS/GREE live-service; Pokelabo brand,WFS/GREE contact preferred,https://www.wfs.games/en/contact/,Treat as route to GREE/WFS rather than independent buyer.,Official site and GREE restructuring coverage show Pokelabo as GREE mobile/live-service brand.,https://pokelabo.co.jp/en/,https://www.wfs.games/en/,https://www.gematsu.com/2024/11/gree-establishes-gree-studios-to-manage-consumer-games-business-live-service-games-business-absorbed-by-wfs,3,Medium,Do not duplicate if already contacting GREE/WFS; use as named reference.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"SINoALICE, Assault Lily Last Bullet; live-service mobile games",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.wfs.games/en/contact/
KR-045,B,45,Pearl Abyss,Korea,"Anyang, Korea",https://www.pearlabyss.com/en-US,Public game developer/publisher,"Black Desert, EVE-related CCP ownership; global self-publishing",13,11,8,14,6,52,Strategic partnership; publishing; acquisition unlikely,Global Business; Corporate Strategy,Corporate inquiry; IR,https://www.pearlabyss.com/en-US/Company/Contact,Low genre fit but global publishing resources; useful if they seek portfolio diversification.,Official site/IR show global game publishing and large live-service operation.,https://www.pearlabyss.com/en-US,https://www.pearlabyss.com/en-US/IR/Archive,https://www.pearlabyss.com/en-US/Game/BlackDesert,3,High,B wave; keep message short and data-led.,Not Started,2026-06-02,,,上市游戏公司；年收入数千亿韩元级，全球自发行能力。,"Black Desert, EVE-related CCP ownership; global self-publishing",business@pearlabyss.com; contact@pearlabyss.com,官网公开 Business/Contact 邮箱；BD优先 business@。
KR-046,B,46,Wemade,Korea,"Seongnam, Korea",https://www.wemade.com/en,Public game/blockchain publisher,MIR franchise; Wemix ecosystem; mobile/PC publishing,12,12,9,12,7,52,Publishing; strategic investment; blockchain optionality,Publishing; Investment; Global Business,Corporate inquiry; IR,https://www.wemade.com/en/contact,Fit is weaker unless they need non-MMORPG mobile diversification or Web3 angle is useful.,Official site/IR covers game publishing and global platform strategy.,https://www.wemade.com/en,https://www.wemade.com/en/games,https://www.wemade.com/en/ir,3,High,B wave; do not lead with Web3 unless they ask.,Not Started,2026-06-02,,,上市游戏/平台公司；MIR/WEMIX 生态，年收入千亿韩元级。,MIR franchise; Wemix ecosystem; mobile/PC publishing,contact@wemade.com; ir@wemade.com; wemadejapan@wemade.co.jp,官网公开集团联系、IR、日本法人邮箱；BD中国邮箱不作为日韩首选。
JP-047,B,47,enish,Japan,"Tokyo, Japan",https://www.enish.com/en/,Public mobile game developer/publisher,"Yuru Camp mobile, De:Lithe, IP-based mobile games",13,9,13,9,7,51,Publishing; co-development; asset deal,Business Development; Game Production,Corporate inquiry; IR,https://www.enish.com/en/contact/,Possible mid-market publisher if they need a lower-risk tested project.,Official site lists mobile game business and IR/company information.,https://www.enish.com/en/,https://www.enish.com/en/service/,https://www.enish.com/en/ir/,3,Medium,Include in B/C batch; ask for publishing/MG interest.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,"Yuru Camp mobile, De:Lithe, IP-based mobile games",info@enish.com; pr@enish.com,官网公开通用/PR邮箱；建议并行官网表单。
KR-048,B,48,LINE Games,Korea,"Seoul, Korea",https://line.games/en/,Game publisher/developer linked to LINE ecosystem,"Exos Heroes, Undecember, Buried Stars; mobile/PC publishing",13,9,11,11,7,51,Publishing; co-development; Korea/Japan distribution,Business Development; Publishing,Corporate contact; LinkedIn,https://line.games/en/contact,Potential publisher with Japan/Korea channel advantages; acquisition less likely.,Official site lists portfolio and publishing/development business.,https://line.games/en/,https://line.games/en/games,https://www.linkedin.com/company/line-games/,3,Medium,B/C wave; ask for publishing review.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Exos Heroes, Undecember, Buried Stars; mobile/PC publishing",linegames_biz@line.games; ir@line.games,官网 Company 页面公开 biz/IR 邮箱；BD优先 linegames_biz@，game_service support 邮箱已排除。
JP-049,B,49,QualiArts,Japan,"Tokyo, Japan",https://qualiarts.jp/,CyberAgent SGE mobile game subsidiary,"IDOLY PRIDE, Girlfriend Beta; smartphone game production",13,8,13,10,6,50,Co-development; publishing via CyberAgent,CyberAgent SGE; QualiArts production,Corporate contact; parent route,https://qualiarts.jp/contact/,Use as a production/partnership angle within CyberAgent group.,Official site lists smartphone game production; CyberAgent report identifies QualiArts within SGE.,https://qualiarts.jp/,https://report.cyberagent.co.jp/en/game/,https://www.cyberagent.co.jp/en/,3,Medium,Approach through CyberAgent if no direct warm intro.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"IDOLY PRIDE, Girlfriend Beta; smartphone game production",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://qualiarts.jp/contact/
JP-050,B,50,Sumzap,Japan,"Tokyo, Japan",https://sumzap.co.jp/,CyberAgent mobile game subsidiary,Jujutsu Kaisen Phantom Parade; KonoSuba Fantastic Days,13,8,13,10,6,50,Co-development; publishing via CyberAgent,CyberAgent SGE; Sumzap production,Corporate site/contact; parent route,https://sumzap.co.jp/contact/,"Relevant for mobile live-service production, less likely direct investor.",Official site lists mobile game titles; CyberAgent report places Sumzap in SGE ecosystem.,https://sumzap.co.jp/,https://report.cyberagent.co.jp/en/game/,https://www.cyberagent.co.jp/en/,3,Medium,Use only if CyberAgent asks for subsidiary-level evaluation.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,Jujutsu Kaisen Phantom Parade; KonoSuba Fantastic Days,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://sumzap.co.jp/contact/
KR-051,B,51,JOYCITY,Korea,"Seongnam, Korea",https://joycity.com/en/,Public mobile/PC game developer/publisher,"Gunship Battle, Pirates of the Caribbean: Tides of War, Freestyle",13,8,11,11,7,50,Publishing; co-development; regional/global operation,Global Business; Publishing,Corporate inquiry; IR,https://joycity.com/en/contact,Useful mid-market publisher if they want non-core casual expansion.,Official site lists global mobile/PC portfolio and IR.,https://joycity.com/en/,https://joycity.com/en/games,https://joycity.com/en/ir,3,Medium,B/C wave; ask for publishing/MG appetite.,Not Started,2026-06-02,,,上市移动/PC游戏公司；年收入千亿韩元级。,"Gunship Battle, Pirates of the Caribbean: Tides of War, Freestyle",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://joycity.com/en/contact
JP-052,B,52,Aiming,Japan,"Tokyo, Japan",https://aiming-inc.com/en/,Public online/mobile game developer,"Dragon Quest Tact development, Caravan Stories, mobile/online games",13,8,12,9,7,49,Co-development; publishing; Japan operation,Business Development; Development Partnership,Corporate inquiry; IR,https://aiming-inc.com/en/contact/,"Could review as co-dev/Japan operation, less likely investor.",Official site lists online game development and IR details.,https://aiming-inc.com/en/,https://aiming-inc.com/en/service/,https://aiming-inc.com/en/ir/,3,Medium,Send if seeking Japan co-dev/operator alternatives.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,"Dragon Quest Tact development, Caravan Stories, mobile/online games",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://aiming-inc.com/en/contact/
JP-053,B,53,Mynet,Japan,"Tokyo, Japan",https://mynet.co.jp/en/,Public mobile game operations/acquisition company,"Mobile game operation, title acquisition/management",11,13,10,8,7,49,Asset acquisition; operation transfer; revenue-share operation,Game service acquisition/operation team,Corporate inquiry; IR,https://mynet.co.jp/en/contact/,Could be relevant for asset sale or operating takeover if cash need is urgent.,"Official site focuses on mobile game operation, acquisition, and title management.",https://mynet.co.jp/en/,https://mynet.co.jp/en/service/,https://mynet.co.jp/en/ir/,3,Medium,Use as fallback if full strategic buyer path stalls.,Not Started,2026-06-02,,,上市移动游戏运营/收购公司；以接手和运营移动游戏资产为核心。,"Mobile game operation, title acquisition/management",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://mynet.co.jp/en/contact/
KR-054,B,54,SHIFT UP,Korea,"Seoul, Korea",https://shiftup.co.kr/eng/,Public/major developer with mobile hit,"Goddess of Victory: NIKKE, Stellar Blade; expanding self-publishing capabilities",12,10,10,12,5,49,Strategic partnership; publishing unlikely; investment unlikely,Self-publishing/global business,Corporate contact; IR,https://shiftup.co.kr/eng/contact/,Low fit unless seeking peer conversation or co-publishing; not a first wave target.,Official site lists mobile/console portfolio and corporate information.,https://shiftup.co.kr/eng/,https://shiftup.co.kr/eng/games/,https://shiftup.co.kr/eng/ir/,3,Medium,C wave; only with warm intro.,Not Started,2026-06-02,,,韩国上市/大型游戏开发商；NIKKE 与 Stellar Blade 带来全球收入规模。,"Goddess of Victory: NIKKE, Stellar Blade; expanding self-publishing capabilities",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://shiftup.co.kr/eng/contact/
KR-055,B,55,Super Planet,Korea,"Seoul, Korea",https://superplanet.co.kr/en,Mobile game publisher/developer,Idle/collectible/mobile publishing portfolio,12,7,15,8,7,49,Publishing; UA/test partnership; revenue share,Publishing; Business Development,Official contact; LinkedIn,https://superplanet.co.kr/en/contact,Possible publisher for casual/idle-oriented mobile audiences.,Official site lists mobile publishing and game portfolio.,https://superplanet.co.kr/en,https://superplanet.co.kr/en/games,https://www.linkedin.com/company/superplanet/,3,Medium,B/C wave; ask for publishing review.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,Idle/collectible/mobile publishing portfolio,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://superplanet.co.kr/en/contact
JP-056,B,56,AltPlus,Japan,"Tokyo, Japan",https://www.altplus.co.jp/en/,Public mobile game developer/operator,Mobile game development/operation; entertainment services,12,8,12,9,7,48,Co-development; operation support; publishing partnership,Game business; Business Development,Corporate inquiry; IR,https://www.altplus.co.jp/en/contact/,Better as operations/co-dev partner than strategic buyer.,Official site covers mobile game development/operation and investor pages.,https://www.altplus.co.jp/en/,https://www.altplus.co.jp/en/service/,https://www.altplus.co.jp/en/ir/,3,Medium,Use in second wave for operational partnership/MG.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,Mobile game development/operation; entertainment services,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.altplus.co.jp/en/contact/
JP-057,B,57,Appirits,Japan,"Tokyo, Japan",https://appirits.com/,Public web/game development and operation company,Online/mobile game development and operation services,12,8,12,9,7,48,Co-development; operation outsourcing; publishing support,Game service; Business Development,Corporate inquiry,https://appirits.com/contact/,Operational partner candidate; not a first-call buyer.,Official site covers game development/operation and digital services.,https://appirits.com/,https://appirits.com/service/game/,https://www.appirits.co.jp/ir/,3,Medium,Use if you need Japan LiveOps/operation fallback.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,Online/mobile game development and operation services,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://appirits.com/contact/
JP-058,B,58,Bank of Innovation,Japan,"Tokyo, Japan",https://boi.jp/en/,Public mobile game developer,MementoMori; mobile game development,12,8,13,9,6,48,Publishing; co-development; strategic partnership,Business Development; Game Production,Corporate inquiry; IR,https://boi.jp/en/contact/,Fit depends on whether they want external projects; use metrics-first.,Official site lists mobile game business and IR/company info.,https://boi.jp/en/,https://boi.jp/en/service/,https://boi.jp/en/ir/,3,Medium,B/C wave; ask for external publishing appetite.,Not Started,2026-06-02,,,上市/挂牌游戏公司；未在本轮补充精确收入，按年收入数十亿至数百亿日元/千亿韩元级处理。,MementoMori; mobile game development,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://boi.jp/en/contact/
JP-059,B,59,EXNOA / DMM GAMES,Japan,"Tokyo, Japan",https://games.dmm.com/,DMM game platform/publisher,"DMM GAMES platform, EXNOA operations, PC/mobile browser game distribution",12,8,11,10,7,48,Distribution; publishing; Japan platform partnership,EXNOA/DMM GAMES business development,Corporate inquiry; DMM contact,https://dmm-corp.com/contact/,"Useful for Japan distribution/operation, less for acquisition.",Official DMM/EXNOA pages describe game platform and services.,https://games.dmm.com/,https://dmm-corp.com/company/,https://dmm-corp.com/business/,3,Medium,Use if Japan distribution/platform is valuable.,Not Started,2026-06-02,,,平台/发行渠道型公司；业务体量通常高于单一工作室，按中型发行渠道处理。,"DMM GAMES platform, EXNOA operations, PC/mobile browser game distribution",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://dmm-corp.com/contact/
JP-060,B,60,Yostar Japan,Japan,"Tokyo, Japan",https://www.yostar.co.jp/,Japan-based mobile game publisher/operator,"Azur Lane, Arknights, Blue Archive Japan publishing/operation",11,7,14,10,6,48,Japan publishing; localization; operation partnership,Business Development; Publishing; Operations,Official contact/corporate site; LinkedIn,https://www.yostar.co.jp/,A Japan publishing/operator option if the game has strong anime/cozy visuals or needs Japan market operation.,Official site lists Japan mobile publishing and operated titles; company profiles verify publisher role.,https://www.yostar.co.jp/,https://www.yostar.co.jp/games/,https://www.linkedin.com/company/yostar/,3,Medium,C/B wave; use if Japan-market publishing is a priority.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Azur Lane, Arknights, Blue Archive Japan publishing/operation",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.yostar.co.jp/
KR-061,C,61,LoadComplete,Korea,"Seoul, Korea",https://loadcomplete.com/,Mobile game developer/publisher,"Crusaders Quest, Goddess Order; mobile game development",12,7,12,8,7,46,Co-development; publishing; investment-light partnership,Business Development; Game Production,Official contact; LinkedIn,https://loadcomplete.com/contact,Smaller studio/publisher; useful for partnership or acqui-hire path.,Official site lists mobile game portfolio and company profile.,https://loadcomplete.com/,https://loadcomplete.com/games,https://www.linkedin.com/company/loadcomplete/,3,Medium,C/B wave; ask only after higher-capacity publishers.,Not Started,2026-06-02,,,中小型游戏发行/开发公司；公开资料未披露收入，按约11-200人级工作室处理。,"Crusaders Quest, Goddess Order; mobile game development",未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://loadcomplete.com/contact
