标题,作者,赞同,原文链接,正文相关度分,严格小学相关度分,本地Markdown
东城东崇前和朝阳白家庄怎么选？?,三人行,0,https://www.zhihu.com/question/525971592/answer/3480310489,39,30,output/zhihu_chaoyang/markdown/552-东城东崇前和朝阳白家庄怎么选？-3480310489.md
外省到北京读初中，选择朝阳还是西城？,秋天的布拉格,51,https://www.zhihu.com/question/1921620402616140772/answer/1926644681669846253,36,30,output/zhihu_chaoyang/markdown/1140-外省到北京读初中，选择朝阳还是西城？-1926644681669846253.md
北京朝阳学区选哪个片区?,深度思考,22,https://www.zhihu.com/question/591524094/answer/3564050704,36,30,output/zhihu_chaoyang/markdown/027-北京朝阳学区选哪个片区-3564050704.md
对于生活在北京的人，朝阳区和海淀区有哪些不同，能否讲下两个地方的优缺点？,找点乐子,78,https://www.zhihu.com/question/48739299/answer/1921536245,35,30,output/zhihu_chaoyang/markdown/498-对于生活在北京的人，朝阳区和海淀区有哪些不同，能否讲下两个地方的优缺点？-1921536245.md
北京入手学区房，有没有好推荐的？,知乎用户BDWlRa,1,https://www.zhihu.com/question/451005100/answer/3107476622,35,30,output/zhihu_chaoyang/markdown/1112-北京入手学区房，有没有好推荐的？-3107476622.md
怎么看待北京朝阳区的老破小降到100多万这件事？,艺心益意Harry,133,https://www.zhihu.com/question/1946900231301099666/answer/1947672134357877535,34,30,output/zhihu_chaoyang/markdown/618-怎么看待北京朝阳区的老破小降到100多万这件事？-1947672134357877535.md
朝阳区在北京市是一种什么样的存在？,北京死宅,129,https://www.zhihu.com/question/31199698/answer/712086317,32,30,output/zhihu_chaoyang/markdown/380-朝阳区在北京市是一种什么样的存在？-712086317.md
有朝阳区工作居住证，租房在安贞学区，是否可以在安贞学区上小学？,工作居住证-红彬,0,https://www.zhihu.com/question/360358883/answer/931230055,32,30,output/zhihu_chaoyang/markdown/109-有朝阳区工作居住证，租房在安贞学区，是否可以在安贞学区上小学？-931230055.md
孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？,武魁首,180,https://www.zhihu.com/question/19569694/answer/253347564,28,30,output/zhihu_chaoyang/markdown/562-孩子在北京上小学和中学，所谓好学区和好学校真有那么重要吗？-253347564.md
考虑在北京买房的，都考虑哪里的房子？,卓不凡,129,https://www.zhihu.com/question/452857081/answer/2977358576,96,29,output/zhihu_chaoyang/markdown/742-考虑在北京买房的，都考虑哪里的房子？-2977358576.md
2020年底北京买房，预算800-1000万朝阳区推荐哪里？,汤有为,24,https://www.zhihu.com/question/417156189/answer/1873559210,86,29,output/zhihu_chaoyang/markdown/089-2020年底北京买房，预算800-1000万朝阳区推荐哪里？-1873559210.md
2020年底北京买房，预算800-1000万朝阳区推荐哪里？,杨壹一,19,https://www.zhihu.com/question/417156189/answer/1993513512,84,29,output/zhihu_chaoyang/markdown/180-2020年底北京买房，预算800-1000万朝阳区推荐哪里？-1993513512.md
东坝是朝阳最有未来的区域吗？,小志君.小窝新房,34,https://www.zhihu.com/question/646610168/answer/3414905330,59,29,output/zhihu_chaoyang/markdown/601-东坝是朝阳最有未来的区域吗？-3414905330.md
北京学区房，600万预算，买东城最差还是丰台较好？,北京叮当,1,https://www.zhihu.com/question/521165950/answer/3028845279,52,29,output/zhihu_chaoyang/markdown/1269-北京学区房，600万预算，买东城最差还是丰台较好？-3028845279.md
8月底缴东城二环学区大房定金50万，单价不到8万。但换的东坝房产从670万降到600万没卖出，咋办？,三人行,1,https://www.zhihu.com/question/299420882/answer/1906280558184621033,42,29,output/zhihu_chaoyang/markdown/918-8月底缴东城二环学区大房定金50万，单价不到8万。但换的东坝房产从670万降到600万没卖出，咋办？-1906280558184621033.md
北京有哪些好的国际学校？,永不空军,4,https://www.zhihu.com/question/59828698/answer/2654015784,41,29,output/zhihu_chaoyang/markdown/1247-北京有哪些好的国际学校？-2654015784.md
北京新学区可能会出现在什么位置？,秋天的布拉格,48,https://www.zhihu.com/question/40950073/answer/1974509293098246711,35,29,output/zhihu_chaoyang/markdown/231-北京新学区可能会出现在什么位置？-1974509293098246711.md
急问！朝阳区哪个小学外地户口的孩子最少？,第壹宝贝,5,https://www.zhihu.com/question/284149870/answer/814361795,35,29,output/zhihu_chaoyang/markdown/026-急问！朝阳区哪个小学外地户口的孩子最少？-814361795.md
如何看待北京海淀万柳顶级学区房降价 400 万没人买？,长安不再,0,https://www.zhihu.com/question/489895211/answer/2017906841494004258,35,29,output/zhihu_chaoyang/markdown/1152-如何看待北京海淀万柳顶级学区房降价-400-万没人买？-2017906841494004258.md
介绍一下北京市西城区的学区？,云上观房,3,https://www.zhihu.com/question/455372815/answer/92074442846,34,29,output/zhihu_chaoyang/markdown/1420-介绍一下北京市西城区的学区？-92074442846.md
北京海淀朝阳生活品质好的学区房有哪些？,我叫小博,0,https://www.zhihu.com/question/452359120/answer/3274850898,34,29,output/zhihu_chaoyang/markdown/155-北京海淀朝阳生活品质好的学区房有哪些？-3274850898.md
学区房买北京西城东城，还是朝阳？,浮生若茶,11,https://www.zhihu.com/question/463574027/answer/2623247838,33,29,output/zhihu_chaoyang/markdown/122-学区房买北京西城东城，还是朝阳？-2623247838.md
在北京为什么非京籍幼升小那么难？,燕子,3,https://www.zhihu.com/question/30445372/answer/2353426952,32,29,output/zhihu_chaoyang/markdown/408-在北京为什么非京籍幼升小那么难？-2353426952.md
北京朝阳区通惠河以南为什么这么荒凉？,中乡 希实,6,https://www.zhihu.com/question/4467241647/answer/34405387946,31,29,output/zhihu_chaoyang/markdown/567-北京朝阳区通惠河以南为什么这么荒凉？-34405387946.md
为什么北京朝阳区群众这么厉害？,胡体贴同学,5,https://www.zhihu.com/question/494658208/answer/2194898626,31,29,output/zhihu_chaoyang/markdown/443-为什么北京朝阳区群众这么厉害？-2194898626.md
北京朝阳区哪个私立学校学习氛围比较好？,私立学校指南,0,https://www.zhihu.com/question/1893295554232033600/answer/1893612237375132953,30,29,output/zhihu_chaoyang/markdown/365-北京朝阳区哪个私立学校学习氛围比较好？-1893612237375132953.md
靠工资在北京买房现实吗？,知乎用户qmuhsz,1,https://www.zhihu.com/question/21370608/answer/2635051142,113,28,output/zhihu_chaoyang/markdown/546-靠工资在北京买房现实吗？-2635051142.md
朝阳东坝迎来小户型，⌈东坝北熙区三期⌋房价跌了吗？,老肖谈京房,0,https://www.zhihu.com/question/1946995138430739738/answer/2034247040251773680,83,28,output/zhihu_chaoyang/markdown/466-朝阳东坝迎来小户型，⌈东坝北熙区三期⌋房价跌了吗？-2034247040251773680.md
2022北京买房，总价350-400建议？,鹿先生FUDE,10,https://www.zhihu.com/question/470879953/answer/2361291622,71,28,output/zhihu_chaoyang/markdown/814-2022北京买房，总价350-400建议？-2361291622.md
北京学区房购买方式解惑？,三人行,0,https://www.zhihu.com/question/432939246/answer/1897220379325465323,51,28,output/zhihu_chaoyang/markdown/899-北京学区房购买方式解惑？-1897220379325465323.md
北京朝阳区小升初如何政策如何呢？求助热心网友?,私立学校指南,1,https://www.zhihu.com/question/517875546/answer/3620423282,48,28,output/zhihu_chaoyang/markdown/115-北京朝阳区小升初如何政策如何呢？求助热心网友-3620423282.md
持有北京朝阳区工作居住证，幼升小需要哪些材料？,北京幼升小指南,0,https://www.zhihu.com/question/645506067/answer/3429088983,46,28,output/zhihu_chaoyang/markdown/119-持有北京朝阳区工作居住证，幼升小需要哪些材料？-3429088983.md
北京朝阳区寒假转学需要满足哪些条件，有哪些接收学校？,私立学校指南,0,https://www.zhihu.com/question/1985295410558960638/answer/1986397435464012030,42,28,output/zhihu_chaoyang/markdown/299-北京朝阳区寒假转学需要满足哪些条件，有哪些接收学校？-1986397435464012030.md
2027年入学，北京学区房如何选择？,云上观房,1,https://www.zhihu.com/question/585515474/answer/2009362868160722848,41,28,output/zhihu_chaoyang/markdown/111-2027年入学，北京学区房如何选择？-2009362868160722848.md
非京籍在北京经开区幼升小难度大吗？,私立学校指南,0,https://www.zhihu.com/question/530752720/answer/1898041554981065570,40,28,output/zhihu_chaoyang/markdown/1137-非京籍在北京经开区幼升小难度大吗？-1898041554981065570.md
北京入手学区房，有没有好推荐的？,云上观房,4,https://www.zhihu.com/question/451005100/answer/1933970652236330577,39,28,output/zhihu_chaoyang/markdown/411-北京入手学区房，有没有好推荐的？-1933970652236330577.md
北京朝阳买房有什么好的建议？,澎叔侃侃侃,9,https://www.zhihu.com/question/543836876/answer/2872107055,38,28,output/zhihu_chaoyang/markdown/267-北京朝阳买房有什么好的建议？-2872107055.md
如何看待北京海淀万柳顶级学区房降价 400 万没人买？,我叫小博,1,https://www.zhihu.com/question/489895211/answer/3205854611,34,28,output/zhihu_chaoyang/markdown/261-如何看待北京海淀万柳顶级学区房降价-400-万没人买？-3205854611.md
孩子明年上小学，是在东城区上好，还是朝阳区呢？,京选置家,1,https://www.zhihu.com/question/345436906/answer/3188009701,33,28,output/zhihu_chaoyang/markdown/532-孩子明年上小学，是在东城区上好，还是朝阳区呢？-3188009701.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,云月,4,https://www.zhihu.com/question/310742721/answer/3084051157,31,28,output/zhihu_chaoyang/markdown/258-现在北京学区房都在弱化的大前提下，学区房买还是不买？-3084051157.md
2024朝阳十八里店，新盘项目怎么样？,深度思考,1,https://www.zhihu.com/question/5374504869/answer/49744650935,31,28,output/zhihu_chaoyang/markdown/1147-2024朝阳十八里店，新盘项目怎么样？-49744650935.md
朝阳区的房子哪里的可以？,澎叔侃侃侃,6,https://www.zhihu.com/question/284226788/answer/2836911593,53,27,output/zhihu_chaoyang/markdown/241-朝阳区的房子哪里的可以？-2836911593.md
26年入学，640万预算，朝阳学区怎么选？,老肖谈京房,1,https://www.zhihu.com/question/619568534/answer/2030970331347859293,51,27,output/zhihu_chaoyang/markdown/131-26年入学，640万预算，朝阳学区怎么选？-2030970331347859293.md
500万朝阳买房选哪里？,京楼猫怼怼,7,https://www.zhihu.com/question/523810659/answer/2471400256,42,27,output/zhihu_chaoyang/markdown/910-500万朝阳买房选哪里？-2471400256.md
外地孩子准备在北京幼升小，什么时候开始准备四证材料？,私立学校指南,0,https://www.zhihu.com/question/1956275454710387911/answer/1956303516525137945,42,27,output/zhihu_chaoyang/markdown/1132-外地孩子准备在北京幼升小，什么时候开始准备四证材料？-1956303516525137945.md
北京朝阳6年级，非京籍无工居，孩子上学如何布局规划？,私立学校指南,0,https://www.zhihu.com/question/12088671228/answer/1982391263262156670,42,27,output/zhihu_chaoyang/markdown/448-北京朝阳6年级，非京籍无工居，孩子上学如何布局规划？-1982391263262156670.md
本人非京籍朝阳工作居住证，朝阳和东城学区怎么选？求指导~？,三人行,0,https://www.zhihu.com/question/1971980298943177785/answer/1991593616330744848,39,27,output/zhihu_chaoyang/markdown/367-本人非京籍朝阳工作居住证，朝阳和东城学区怎么选？求指导~？-1991593616330744848.md
有北京市工作居住证（单位在海淀区）。550万在哪个区买房子比较合适？如果租房，可以上学吗？,智创企服,0,https://www.zhihu.com/question/377828003/answer/2563430657,38,27,output/zhihu_chaoyang/markdown/580-有北京市工作居住证（单位在海淀区）。550万在哪个区买房子比较合适？如果租房，可以上学吗？-2563430657.md
北京学区房怎么买？,云上观房,14,https://www.zhihu.com/question/31079338/answer/1996919228473811586,36,27,output/zhihu_chaoyang/markdown/092-北京学区房怎么买？-1996919228473811586.md
北京朝阳首套预算总价500万刚需房上车怎么选择?,帝都C博,4,https://www.zhihu.com/question/547832610/answer/2903792019,36,27,output/zhihu_chaoyang/markdown/724-北京朝阳首套预算总价500万刚需房上车怎么选择-2903792019.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,云上观房,5,https://www.zhihu.com/question/310742721/answer/2030027171348100569,34,27,output/zhihu_chaoyang/markdown/031-现在北京学区房都在弱化的大前提下，学区房买还是不买？-2030027171348100569.md
非京籍，朝阳社保，4岁，为幼升小换房，建华实验、人北联合、陈经纶帝景，人大附小，怎么选，有点迷茫?,虎小妈,3,https://www.zhihu.com/question/386911987/answer/1148730328,34,27,output/zhihu_chaoyang/markdown/173-非京籍，朝阳社保，4岁，为幼升小换房，建华实验、人北联合、陈经纶帝景，人大附小，怎么选，有点迷茫-1148730328.md
2020 北京学区房求助?,三人行,0,https://www.zhihu.com/question/410652579/answer/3636470680,34,27,output/zhihu_chaoyang/markdown/1122-2020-北京学区房求助-3636470680.md
北京哪些小学比较好？哪些小区属于「学区房」？,自由的大怪物,92,https://www.zhihu.com/question/57135540/answer/151725836,32,27,output/zhihu_chaoyang/markdown/219-北京哪些小学比较好？哪些小区属于「学区房」？-151725836.md
孩子要上小学，朝阳和东城怎么选？,三人行,11,https://www.zhihu.com/question/482255915/answer/3155305646,31,27,output/zhihu_chaoyang/markdown/265-孩子要上小学，朝阳和东城怎么选？-3155305646.md
求助：北京朝阳小升初有户籍学籍无房产怎么避免进坑校？,私立学校指南,0,https://www.zhihu.com/question/602526433/answer/79803441575,28,27,output/zhihu_chaoyang/markdown/517-求助：北京朝阳小升初有户籍学籍无房产怎么避免进坑校？-79803441575.md
北京很多中学都开设分校，这些分校的教学质量和总部一样吗？比如人大附中朝阳学校,李尚瑾,40,https://www.zhihu.com/question/20277085/answer/36380364,27,27,output/zhihu_chaoyang/markdown/1165-北京很多中学都开设分校，这些分校的教学质量和总部一样吗？比如人大附中朝阳学校-36380364.md
对于生活在北京的人，朝阳区和海淀区有哪些不同，能否讲下两个地方的优缺点？,Fatimah,22,https://www.zhihu.com/question/48739299/answer/1312574496,27,27,output/zhihu_chaoyang/markdown/967-对于生活在北京的人，朝阳区和海淀区有哪些不同，能否讲下两个地方的优缺点？-1312574496.md
北京小升初，小学在朝阳，学区一般，学习成绩靠前，升初中选择朝阳学籍还是亦庄（大兴）学籍好？,老污龟,12,https://www.zhihu.com/question/458085705/answer/3442459532,27,27,output/zhihu_chaoyang/markdown/287-北京小升初，小学在朝阳，学区一般，学习成绩靠前，升初中选择朝阳学籍还是亦庄（大兴）学籍好？-3442459532.md
朝阳区在北京市是一种什么样的存在？,VeraS,10,https://www.zhihu.com/question/31199698/answer/716869953,27,27,output/zhihu_chaoyang/markdown/722-朝阳区在北京市是一种什么样的存在？-716869953.md
在北京拿着工作居住证孩子好上小学吗？,看山,1,https://www.zhihu.com/question/268839905/answer/2730875161,27,27,output/zhihu_chaoyang/markdown/677-在北京拿着工作居住证孩子好上小学吗？-2730875161.md
非京籍朝阳区工作昌平区租房无工作居住证能在昌平上小学吗?,蚂蚁优服,0,https://www.zhihu.com/question/268368466/answer/3490259101,27,27,output/zhihu_chaoyang/markdown/213-非京籍朝阳区工作昌平区租房无工作居住证能在昌平上小学吗-3490259101.md
北京一小学老师被指语言霸凌小学生，区教委回应称校方正在调查，如若属实该老师会受到什么处罚？,欣欣融贷指南,51,https://www.zhihu.com/question/509343422/answer/2293819444,25,27,output/zhihu_chaoyang/markdown/1367-北京一小学老师被指语言霸凌小学生，区教委回应称校方正在调查，如若属实该老师会受到什么处罚？-2293819444.md
北京朝阳买房有什么好的建议？,孙掌柜聊房,2,https://www.zhihu.com/question/543836876/answer/3444276426,63,26,output/zhihu_chaoyang/markdown/084-北京朝阳买房有什么好的建议？-3444276426.md
2026年北京幼升小政策如何？,私立学校指南,0,https://www.zhihu.com/question/2029501854145417261/answer/2029553203281150567,61,26,output/zhihu_chaoyang/markdown/497-2026年北京幼升小政策如何？-2029553203281150567.md
京籍，朝阳工居，预算1000万，求推荐适合自住的学区房?,房产有财华,4,https://www.zhihu.com/question/465371031/answer/2303634824,38,26,output/zhihu_chaoyang/markdown/123-京籍，朝阳工居，预算1000万，求推荐适合自住的学区房-2303634824.md
北京没有学区的老破小还能买吗?,得啊欧里,2,https://www.zhihu.com/question/471640553/answer/1996615779,38,26,output/zhihu_chaoyang/markdown/870-北京没有学区的老破小还能买吗-1996615779.md
非京籍，是在北京上小学还是天津？,Doris,0,https://www.zhihu.com/question/489593829/answer/1969098210975936941,33,26,output/zhihu_chaoyang/markdown/525-非京籍，是在北京上小学还是天津？-1969098210975936941.md
北京清华附中朝阳学校怎么样，是现在买西城房子让孩子在西城全区派位上中学好，还是上清朝更好求大神解答？,咸鱼爱吃菜,7,https://www.zhihu.com/question/488450107/answer/2570851156,32,26,output/zhihu_chaoyang/markdown/1179-北京清华附中朝阳学校怎么样，是现在买西城房子让孩子在西城全区派位上中学好，还是上清朝更好求大神解答？-2570851156.md
北京朝阳500万两居二手房带学区?,三人行,0,https://www.zhihu.com/question/368229093/answer/82451031142,32,26,output/zhihu_chaoyang/markdown/783-北京朝阳500万两居二手房带学区-82451031142.md
10年后，北京还会有学区房的概念吗？,霜月乡,6,https://www.zhihu.com/question/4605623690/answer/1991820212824212354,29,26,output/zhihu_chaoyang/markdown/1063-10年后，北京还会有学区房的概念吗？-1991820212824212354.md
请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？,SLTN,2,https://www.zhihu.com/question/459115429/answer/3421303981,25,26,output/zhihu_chaoyang/markdown/210-请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？-3421303981.md
非京籍，娃2022幼升小，北京市朝阳区择校买学区房，如何选？,一条诚,2,https://www.zhihu.com/question/468265975/answer/2389668699,23,26,output/zhihu_chaoyang/markdown/066-非京籍，娃2022幼升小，北京市朝阳区择校买学区房，如何选？-2389668699.md
北京朝阳区私立小学都有哪些？,私立学校指南,1,https://www.zhihu.com/question/565192664/answer/3241505801,23,26,output/zhihu_chaoyang/markdown/198-北京朝阳区私立小学都有哪些？-3241505801.md
非京籍朝阳区工作昌平区租房无工作居住证能在昌平上小学吗?,智力乐园,0,https://www.zhihu.com/question/268368466/answer/1973707178536891757,23,26,output/zhihu_chaoyang/markdown/212-非京籍朝阳区工作昌平区租房无工作居住证能在昌平上小学吗-1973707178536891757.md
小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？,dead,0,https://www.zhihu.com/question/1923402321318086212/answer/1924488260228481548,20,26,output/zhihu_chaoyang/markdown/139-小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？-1924488260228481548.md
小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？,佳璐知乎诗词原创,0,https://www.zhihu.com/question/1923402321318086212/answer/1928407007574098138,20,26,output/zhihu_chaoyang/markdown/225-小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？-1928407007574098138.md
朝阳区非京籍幼升小父母一方在朝阳区工作中途更换用人单位了可以吗?,智力乐园,0,https://www.zhihu.com/question/509520673/answer/2294942318,20,26,output/zhihu_chaoyang/markdown/539-朝阳区非京籍幼升小父母一方在朝阳区工作中途更换用人单位了可以吗-2294942318.md
北京望京是个什么样的地段？,国贸民工,4,https://www.zhihu.com/question/22717822/answer/2712641202,93,25,output/zhihu_chaoyang/markdown/500-北京望京是个什么样的地段？-2712641202.md
有500W；重点学区和生活。考虑望京陈分或陈分嘉铭，如望京南湖东园，利泽西园或亚运村秀雅，如何选择？,Yxz张幸运,22,https://www.zhihu.com/question/418777117/answer/1451316678,90,25,output/zhihu_chaoyang/markdown/149-有500W；重点学区和生活。考虑望京陈分或陈分嘉铭，如望京南湖东园，利泽西园或亚运村秀雅，如何选择？-1451316678.md
2022年北京总价700万买房求建议？,知乎用户BKm7r1,8,https://www.zhihu.com/question/472139576/answer/2456997704,54,25,output/zhihu_chaoyang/markdown/379-2022年北京总价700万买房求建议？-2456997704.md
北京，首付200万北京买房，朝阳区求推荐?,深度思考,4,https://www.zhihu.com/question/398737652/answer/2834483468,49,25,output/zhihu_chaoyang/markdown/387-北京，首付200万北京买房，朝阳区求推荐-2834483468.md
北京买哪里的学区房性价比高？,云上观房,2,https://www.zhihu.com/question/504311445/answer/2027862403606430570,47,25,output/zhihu_chaoyang/markdown/044-北京买哪里的学区房性价比高？-2027862403606430570.md
朝阳区在北京市是一种什么样的存在？,午夜迈蕊,279,https://www.zhihu.com/question/31199698/answer/3166952407,40,25,output/zhihu_chaoyang/markdown/194-朝阳区在北京市是一种什么样的存在？-3166952407.md
在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？,我叫小博,1,https://www.zhihu.com/question/38406873/answer/3237250451,37,25,output/zhihu_chaoyang/markdown/049-在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？-3237250451.md
选择从小在北京哪个区上学性价比最高？,京学区字典,17,https://www.zhihu.com/question/452554411/answer/3385026852,34,25,output/zhihu_chaoyang/markdown/306-选择从小在北京哪个区上学性价比最高？-3385026852.md
北京户口现在外地读小学，准备让孩子回北京读书，通州和朝阳应该选择哪个区？北京无房？谢谢谢谢？,佳爷房谈王佳,6,https://www.zhihu.com/question/462191476/answer/1914926782,30,25,output/zhihu_chaoyang/markdown/949-北京户口现在外地读小学，准备让孩子回北京读书，通州和朝阳应该选择哪个区？北京无房？谢谢谢谢？-1914926782.md
朝阳上头部高中和西城上中部高中难度一样吗？,三人行,41,https://www.zhihu.com/question/7393726176/answer/60105330355,29,25,output/zhihu_chaoyang/markdown/1141-朝阳上头部高中和西城上中部高中难度一样吗？-60105330355.md
北京德胜学区还能买吗？,轻松家长,4,https://www.zhihu.com/question/523268825/answer/2609423084,29,25,output/zhihu_chaoyang/markdown/1379-北京德胜学区还能买吗？-2609423084.md
非京籍孩子想在朝阳区上私立小学可以吗，需要满足什么条件？,非京籍升学规划,0,https://www.zhihu.com/question/1915814953807480240/answer/1916098407199672067,27,25,output/zhihu_chaoyang/markdown/142-非京籍孩子想在朝阳区上私立小学可以吗，需要满足什么条件？-1916098407199672067.md
非京籍，社保在朝阳，石景山买房，但实际居住地在朝阳（租房），可以在朝阳上小学吗？,李艳芳,0,https://www.zhihu.com/question/494691409/answer/2244889632,26,25,output/zhihu_chaoyang/markdown/305-非京籍，社保在朝阳，石景山买房，但实际居住地在朝阳（租房），可以在朝阳上小学吗？-2244889632.md
朝阳区实验小学润泽校区和朝阳外国语小学来广营校区哪个更好一点，求大佬帮忙分析一下？,大龙说学区,0,https://www.zhihu.com/question/266183410/answer/1281013224,25,25,output/zhihu_chaoyang/markdown/313-朝阳区实验小学润泽校区和朝阳外国语小学来广营校区哪个更好一点，求大佬帮忙分析一下？-1281013224.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,退乎,127,https://www.zhihu.com/question/310742721/answer/683399784,23,25,output/zhihu_chaoyang/markdown/871-现在北京学区房都在弱化的大前提下，学区房买还是不买？-683399784.md
怎么看待北京朝阳区的老破小降到100多万这件事？,知乎用户39XX53,6,https://www.zhihu.com/question/1946900231301099666/answer/2004815667883442797,23,25,output/zhihu_chaoyang/markdown/626-怎么看待北京朝阳区的老破小降到100多万这件事？-2004815667883442797.md
北京朝阳区幼升小，小升初政策是怎样的？朝阳区教育资源是相对均衡还是有坑？买房子要考虑学区吗？,北漂购房圈,0,https://www.zhihu.com/question/459114762/answer/1882949459,22,25,output/zhihu_chaoyang/markdown/229-北京朝阳区幼升小，小升初政策是怎样的？朝阳区教育资源是相对均衡还是有坑？买房子要考虑学区吗？-1882949459.md
求解答，北京朝阳区上小学，有落户年限要求吗？户口从近郊转进朝阳区容易吗？,尘欢,0,https://www.zhihu.com/question/444470245/answer/1733574777,21,25,output/zhihu_chaoyang/markdown/175-求解答，北京朝阳区上小学，有落户年限要求吗？户口从近郊转进朝阳区容易吗？-1733574777.md
小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？,翡翠狐狸,1,https://www.zhihu.com/question/1923402321318086212/answer/1929149998655858432,19,25,output/zhihu_chaoyang/markdown/331-小孩要上小学了，在朝阳区南部，朝阳实验小学南校和八十中牌坊分校哪个更好一些？-1929149998655858432.md
在北京买房三环（包括三环外四环内）哪里的房好？,西瓜姐教买房,7,https://www.zhihu.com/question/481883662/answer/2082538375,56,24,output/zhihu_chaoyang/markdown/1072-在北京买房三环（包括三环外四环内）哪里的房好？-2082538375.md
400万预算，在北京朝阳区东五环买房，有哪些楼盘可以考虑？,我叫小博,3,https://www.zhihu.com/question/429149383/answer/3218891895,48,24,output/zhihu_chaoyang/markdown/062-400万预算，在北京朝阳区东五环买房，有哪些楼盘可以考虑？-3218891895.md
北京学区，东城有哪些必须看的学区？,云上观房,1,https://www.zhihu.com/question/6636465923/answer/81242308138,40,24,output/zhihu_chaoyang/markdown/1423-北京学区，东城有哪些必须看的学区？-81242308138.md
北京东城和平里学区要换房到海淀吗？,云上观房,9,https://www.zhihu.com/question/465564811/answer/1933076236604773472,39,24,output/zhihu_chaoyang/markdown/1016-北京东城和平里学区要换房到海淀吗？-1933076236604773472.md
孩子北京站附近上学，想在周围朝阳买一个大两居或三居，方便接送孩子，预算800以内，请问有推荐小区吗？,陈校长说房,6,https://www.zhihu.com/question/473431056/answer/2015622682,36,24,output/zhihu_chaoyang/markdown/816-孩子北京站附近上学，想在周围朝阳买一个大两居或三居，方便接送孩子，预算800以内，请问有推荐小区吗？-2015622682.md
准备在北京买房，想要一步到位考虑海淀西城朝阳，考虑学区，有什么建议？,云上观房,0,https://www.zhihu.com/question/350008075/answer/1994852694247089188,34,24,output/zhihu_chaoyang/markdown/412-准备在北京买房，想要一步到位考虑海淀西城朝阳，考虑学区，有什么建议？-1994852694247089188.md
未来10年的北京学区格局会发生怎样的变化？,西西侃房,41,https://www.zhihu.com/question/53144309/answer/2347975125,26,24,output/zhihu_chaoyang/markdown/146-未来10年的北京学区格局会发生怎样的变化？-2347975125.md
今年北京朝阳区高考成绩怎么样？,京考升学圈,2,https://www.zhihu.com/question/338224637/answer/3196177413,25,24,output/zhihu_chaoyang/markdown/568-今年北京朝阳区高考成绩怎么样？-3196177413.md
持有北京朝阳区工作居住证，幼升小需要哪些材料？,看山,0,https://www.zhihu.com/question/645506067/answer/3407441165,24,24,output/zhihu_chaoyang/markdown/172-持有北京朝阳区工作居住证，幼升小需要哪些材料？-3407441165.md
北京朝阳区幼升小，小升初政策是怎样的？朝阳区教育资源是相对均衡还是有坑？买房子要考虑学区吗？,任昊天,0,https://www.zhihu.com/question/459114762/answer/1885294139,23,24,output/zhihu_chaoyang/markdown/230-北京朝阳区幼升小，小升初政策是怎样的？朝阳区教育资源是相对均衡还是有坑？买房子要考虑学区吗？-1885294139.md
北京学区房值得购买吗？,葡果麦,2,https://www.zhihu.com/question/467772807/answer/1982511990,22,24,output/zhihu_chaoyang/markdown/887-北京学区房值得购买吗？-1982511990.md
同时拥有朝阳工作居住证、西城工作居住证，小学怎么选？,智力乐园,0,https://www.zhihu.com/question/558207060/answer/2711892833,22,24,output/zhihu_chaoyang/markdown/735-同时拥有朝阳工作居住证、西城工作居住证，小学怎么选？-2711892833.md
北京朝阳区，孩子已经上小学，初中之前换学区房来得及吗？,刘霞,0,https://www.zhihu.com/question/447534823/answer/1763470446,21,24,output/zhihu_chaoyang/markdown/059-北京朝阳区，孩子已经上小学，初中之前换学区房来得及吗？-1763470446.md
预算500W，小孩还有几年上小学，想在朝阳买个有学区的房子，有推荐的吗？,三米阳光,1,https://www.zhihu.com/question/442276841/answer/1711595939,20,24,output/zhihu_chaoyang/markdown/521-预算500W，小孩还有几年上小学，想在朝阳买个有学区的房子，有推荐的吗？-1711595939.md
请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？,马小破,3,https://www.zhihu.com/question/459115429/answer/1936128542619468174,19,24,output/zhihu_chaoyang/markdown/081-请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？-1936128542619468174.md
