标题,作者,赞同,评论,创建时间,更新时间,原文链接,命中关键词,正文相关度分,本地Markdown
准备在海淀的北部入手一个学区房，西三旗或者清河片区。有什么推荐的小区和学校？,三人行,2,0,2024-12-29 11:46:35 CST,2024-12-29 11:46:35 CST,https://www.zhihu.com/question/663075040/answer/66630077662,东城 九年一贯制 | 东城 龙体,82,output/zhihu_dongcheng/markdown/445-准备在海淀的北部入手一个学区房，西三旗或者清河片区。有什么推荐的小区和学校？-66630077662.md
如何评价北京西城和东城五所高中登记入学？,三人行,4,0,2025-03-26 10:45:36 CST,2025-03-26 10:45:36 CST,https://www.zhihu.com/question/523989147/answer/131187257059,东城 22中 | 东城 55中 | 东城 中招 | 东城 中考 | 东城 九年一贯制 | 东城 五中,81,output/zhihu_dongcheng/markdown/026-如何评价北京西城和东城五所高中登记入学？-131187257059.md
2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？,轻松家长,1,0,2023-03-15 17:40:43 CST,2023-03-15 17:40:43 CST,https://www.zhihu.com/question/556040068/answer/2937701007,东城 171 | 东城 171中学 | 东城 22中 | 东城 五中 | 东城 西城 学区 | 东城区 171,81,output/zhihu_dongcheng/markdown/056-2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？-2937701007.md
天永学区在北京市的水平?,三人行,0,0,2025-02-03 09:37:03 CST,2025-02-03 09:37:03 CST,https://www.zhihu.com/question/645474267/answer/91734317863,东城 天永 | 东城区 天永,81,output/zhihu_dongcheng/markdown/574-天永学区在北京市的水平-91734317863.md
如何看待北京2025中考改革？,三人行,6,0,2024-11-27 09:13:44 CST,2024-11-27 09:13:44 CST,https://www.zhihu.com/question/662636750/answer/41730262635,东城 中招 | 东城 中考 | 东城区 中招 | 东城区 中考,80,output/zhihu_dongcheng/markdown/425-如何看待北京2025中考改革？-41730262635.md
大家如何看待小升初摇号入学?,京考升学圈,2,0,2023-10-23 10:48:48 CST,2023-10-23 10:48:48 CST,https://www.zhihu.com/question/414662982/answer/3260774499,东城区 全区派位 | 东城区 派位,80,output/zhihu_dongcheng/markdown/448-大家如何看待小升初摇号入学-3260774499.md
东城西城哪几个学区性价比最高相对安全？,京学区字典,3,0,2024-06-15 18:58:41 CST,2024-06-15 18:58:41 CST,https://www.zhihu.com/question/470439287/answer/3531515214,东城 一派 二派 三派 | 东城 九年一贯制 | 东城 天永 | 东城 学区选择 | 东城 调剂 | 东城区 天永,79,output/zhihu_dongcheng/markdown/147-东城西城哪几个学区性价比最高相对安全？-3531515214.md
东城学区 跨区初中?,云上观房,2,0,2025-12-23 19:17:44 CST,2025-12-23 19:17:44 CST,https://www.zhihu.com/question/644582759/answer/1986878146994262361,东城 中招 | 东城 多校划片 | 东城 调剂 | 东城区 1911 | 东城区 中考 | 东城区 入学政策,78,output/zhihu_dongcheng/markdown/103-东城学区-跨区初中-1986878146994262361.md
东城龙体片区与北东片区比较，你更倾向于哪个？,郝正闯,2,1,2021-09-14 15:11:26 CST,2021-09-15 16:08:47 CST,https://www.zhihu.com/question/486738311/answer/2120339224,东城 五中分校 | 东城 初中 | 东城 北东 | 东城区 北东 | 东城区 龙体,78,output/zhihu_dongcheng/markdown/236-东城龙体片区与北东片区比较，你更倾向于哪个？-2120339224.md
求问北京东城区府学小学和花市小学如何选择？,京选置家,3,7,2023-04-14 13:12:23 CST,2023-04-14 13:12:23 CST,https://www.zhihu.com/question/403494821/answer/2983441200,东城 22中 | 东城 55中 | 东城 五中分校 | 东城 北东 | 东城 广渠门中学 | 东城 景东,77,output/zhihu_dongcheng/markdown/039-求问北京东城区府学小学和花市小学如何选择？-2983441200.md
26年北京初中0.5+3直升名额多吗，必须是成绩好的学生才可以走这条路吗？,私立学校指南,0,0,2026-01-13 10:18:20 CST,2026-01-13 10:18:20 CST,https://www.zhihu.com/question/1994330319717934657/answer/1994352547251650799,东城区 五中 | 东城区 直升,77,output/zhihu_dongcheng/markdown/454-26年北京初中0.5+3直升名额多吗，必须是成绩好的学生才可以走这条路吗？-1994352547251650799.md
北京东城和平里学区要换房到海淀吗？,云上观房,9,0,2025-07-28 08:08:09 CST,2025-07-28 08:08:09 CST,https://www.zhihu.com/question/465564811/answer/1933076236604773472,东城 171 | 东城 171中学 | 东城 1911 | 东城 22中 | 东城 一派 二派 三派 | 东城 东直门中学,76,output/zhihu_dongcheng/markdown/003-北京东城和平里学区要换房到海淀吗？-1933076236604773472.md
北京东城区是一个怎样的存在？,三人行,2,1,2024-08-03 12:44:03 CST,2024-08-03 12:44:03 CST,https://www.zhihu.com/question/310947612/answer/3582527861,东城 中招 | 东城 五中 | 东城区 二中 | 东城区 五中,76,output/zhihu_dongcheng/markdown/145-北京东城区是一个怎样的存在？-3582527861.md
如何评价北京东城区龙体校区的初中？,三人行,0,1,2025-06-18 10:06:12 CST,2025-06-18 10:06:12 CST,https://www.zhihu.com/question/348480590/answer/1918610431259440517,东城 初中 | 东城 学校排名 | 东城 景东 | 东城 龙潭 体育馆路 | 东城区 初中,76,output/zhihu_dongcheng/markdown/117-如何评价北京东城区龙体校区的初中？-1918610431259440517.md
北京市最好的中学为什么不是一中，而是四中呢？,秋天的布拉格,2905,348,2023-02-04 05:24:38 CST,2024-05-19 20:08:43 CST,https://www.zhihu.com/question/59637236/answer/2875539004,东城 166中学 | 东城 五中 | 东城区 166中学 | 东城区 55中 | 东城区 五中,75,output/zhihu_dongcheng/markdown/286-北京市最好的中学为什么不是一中，而是四中呢？-2875539004.md
北京东城小升初派位公平吗？,深度思考,17,1,2023-12-09 18:48:06 CST,2024-04-08 16:37:51 CST,https://www.zhihu.com/question/404640838/answer/3319499148,东城 1911 | 东城 一派 二派 三派 | 东城 入学政策 | 东城 初中 | 东城 多校划片 | 东城 小学,75,output/zhihu_dongcheng/markdown/025-北京东城小升初派位公平吗？-3319499148.md
北京房价接下来的走势会是如何？,多昀房产规划,2,0,2023-12-11 20:30:03 CST,2023-12-11 20:30:03 CST,https://www.zhihu.com/question/435140864/answer/3321907707,东城 东崇前 | 东城 北东 | 东城 安交 | 东城区 东崇前 | 东城区 东朝建 | 东城区 北东,75,output/zhihu_dongcheng/markdown/273-北京房价接下来的走势会是如何？-3321907707.md
东城幼升小的流程有哪些？,育路私立学校网,0,0,2024-11-14 18:09:10 CST,2024-11-14 18:09:10 CST,https://www.zhihu.com/question/824258058/answer/31430879908,东城 幼升小 | 东城区 义务教育 入学 | 东城区 幼升小 | 北京东城 幼升小,75,output/zhihu_dongcheng/markdown/291-东城幼升小的流程有哪些？-31430879908.md
北京人 在东城200万买房还是租房？,三人行,0,0,2025-06-07 09:28:02 CST,2025-06-07 09:28:02 CST,https://www.zhihu.com/question/633134245/answer/1914614558498203167,东城 九年一贯制 | 东城 初中 | 东城 史家 | 东城 学区选择 | 东城区 初中 | 东城区 史家,75,output/zhihu_dongcheng/markdown/141-北京人-在东城200万买房还是租房？-1914614558498203167.md
北京各区小升初派位查询?,小T聊上学,0,0,2025-11-11 15:52:08 CST,2025-11-11 15:52:08 CST,https://www.zhihu.com/question/1922935265737021252/answer/1971606115230913487,东城 派位 | 东城区 全区派位 | 东城区 定向名额派位 | 东城区 小升初 | 东城区 派位,75,output/zhihu_dongcheng/markdown/376-北京各区小升初派位查询-1971606115230913487.md
孩子要上小学，朝阳和东城怎么选？,京选置家,0,0,2023-09-14 16:24:16 CST,2023-09-14 16:24:16 CST,https://www.zhihu.com/question/482255915/answer/3211062007,东城 55中 | 东城 和平里一小 | 东城区 和平里一小,75,output/zhihu_dongcheng/markdown/312-孩子要上小学，朝阳和东城怎么选？-3211062007.md
东莞哪个区域的「小学」比较好？哪些小区属于「学区房」？,请回答0769,4,0,2022-04-15 12:46:00 CST,2023-03-16 15:41:16 CST,https://www.zhihu.com/question/526741795/answer/2440662743,东城 小学,74,output/zhihu_dongcheng/markdown/624-东莞哪个区域的「小学」比较好？哪些小区属于「学区房」？-2440662743.md
西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去?,轻松家长,3,0,2023-03-15 17:45:15 CST,2023-03-15 17:45:15 CST,https://www.zhihu.com/question/462737988/answer/2937708907,东城 和平里 | 东城 和平里一小 | 东城区 22中 | 东城区 五中 | 东城区 和平里一小,74,output/zhihu_dongcheng/markdown/157-西城陶白和东城区学期和平里、安交片区选择，选哪个更好呢，全部预算550万，孩子计划初中转校过去-2937708907.md
北京学区，东城有哪些必须看的学区？,云上观房,1,2,2025-01-17 13:24:08 CST,2025-01-17 13:24:08 CST,https://www.zhihu.com/question/6636465923/answer/81242308138,东城 22中 | 东城 一派 二派 三派 | 东城 买房 上学 | 东城 入学政策 | 东城 多校划片 | 东城 西城 学区,74,output/zhihu_dongcheng/markdown/032-北京学区，东城有哪些必须看的学区？-81242308138.md
北京 2023 年中考中招政策正式出炉，这对考生考试造成什么影响？,北京中考在线,0,0,2023-05-16 17:12:24 CST,2023-05-16 17:12:24 CST,https://www.zhihu.com/question/592392845/answer/3030654805,东城区 广渠门中学,74,output/zhihu_dongcheng/markdown/417-北京-2023-年中考中招政策正式出炉，这对考生考试造成什么影响？-3030654805.md
学区房买北京西城东城，还是朝阳？,老污龟,64,13,2023-01-26 21:25:58 CST,2023-03-28 16:21:41 CST,https://www.zhihu.com/question/463574027/answer/2861398708,北京学区 东城 西城 海淀,73,output/zhihu_dongcheng/markdown/579-学区房买北京西城东城，还是朝阳？-2861398708.md
买老破小学区房值得吗？,三人行,16,0,2024-10-19 11:48:49 CST,2024-10-19 11:48:49 CST,https://www.zhihu.com/question/572131086/answer/9278950904,东城 东崇前 | 东城 九年一贯制 | 东城 龙体 | 东城区 东崇前 | 东城区 龙体,73,output/zhihu_dongcheng/markdown/287-买老破小学区房值得吗？-9278950904.md
2023年学区房是否还值得买？,北京叮当,4,0,2023-08-17 14:53:21 CST,2023-08-17 16:43:59 CST,https://www.zhihu.com/question/582165082/answer/3169818726,东城 校额到校,73,output/zhihu_dongcheng/markdown/622-2023年学区房是否还值得买？-3169818726.md
"如何看待北京学区房降价400万没人买,究竟是什么情况？学区房价格会继续走低吗?",三人行,2,5,2024-10-27 07:55:40 CST,2024-10-27 08:20:47 CST,https://www.zhihu.com/question/489912886/answer/15723620036,东城 天永 | 东城 龙体 | 东城区 天永,73,"output/zhihu_dongcheng/markdown/390-如何看待北京学区房降价400万没人买,究竟是什么情况？学区房价格会继续走低吗-15723620036.md"
俩孩子在西城上学，怎么才能上同一所小学，北京有这方面的政策吗。?,三人行,1,0,2025-06-04 08:04:02 CST,2025-06-04 08:04:02 CST,https://www.zhihu.com/question/595131993/answer/1913506253830857069,东城 西城 学区,73,output/zhihu_dongcheng/markdown/514-俩孩子在西城上学，怎么才能上同一所小学，北京有这方面的政策吗。-1913506253830857069.md
2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？,慢琢玖居,2,0,2025-02-27 18:07:56 CST,2025-02-27 18:07:56 CST,https://www.zhihu.com/question/556040068/answer/112024080053,东城 买房 上学 | 东城 幼升小 | 东城 调剂 | 东城区 学区房 | 东城区 学区选择 | 东城区 幼升小,72,output/zhihu_dongcheng/markdown/073-2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？-112024080053.md
多校划片政策下，「学区房」还值得普通家庭砸钱买吗？,三人行,0,0,2025-05-08 06:52:02 CST,2025-05-08 06:52:02 CST,https://www.zhihu.com/question/1890148043661219837/answer/1903703662037046099,东城 171 | 东城 171中学 | 东城 和平里 | 东城 多校划片 | 东城 校额到校 | 东城区 和平里,72,output/zhihu_dongcheng/markdown/170-多校划片政策下，「学区房」还值得普通家庭砸钱买吗？-1903703662037046099.md
北京和平里学区和东直门学区该怎么选？,三人行,1,0,2025-03-29 10:25:11 CST,2025-03-29 10:25:11 CST,https://www.zhihu.com/question/350850212/answer/1889261790937995092,东城 171 | 东城 171中学 | 东城 中考 | 东城 初中 | 东城 北新桥 东直门 | 东城 和平里,71,output/zhihu_dongcheng/markdown/094-北京和平里学区和东直门学区该怎么选？-1889261790937995092.md
2027年入学，北京学区房如何选择？,三人行,0,0,2024-10-07 09:35:42 CST,2024-10-07 09:35:42 CST,https://www.zhihu.com/question/585515474/answer/4367615877,东城 买房 上学 | 东城 和平里 | 东城 安交 | 东城区 买房 上学 | 东城区 安交,71,output/zhihu_dongcheng/markdown/219-2027年入学，北京学区房如何选择？-4367615877.md
到底要不要买北京学区房？,一代良民,72,15,2024-01-10 16:12:42 CST,2024-01-10 16:12:42 CST,https://www.zhihu.com/question/638488455/answer/3357128815,东城 朝阳 学区 | 东城 西城 学区 | 东城区 买房 上学 | 北京学区 东城 西城 海淀,70,output/zhihu_dongcheng/markdown/357-到底要不要买北京学区房？-3357128815.md
2024年，该不该买学区房?,三人行,0,0,2024-10-27 07:49:43 CST,2024-10-27 07:49:43 CST,https://www.zhihu.com/question/660697809/answer/15721038141,东城 天永 | 东城 龙体 | 东城区 天永,70,output/zhihu_dongcheng/markdown/394-2024年，该不该买学区房-15721038141.md
请问北京东城区教育资源和前景如何？如果买东城房子需要考虑学区房吗？需要的话有哪些推荐吗？不要老破小。？,深度思考,20,2,2024-11-05 10:14:36 CST,2024-11-05 10:14:36 CST,https://www.zhihu.com/question/459288660/answer/23273845441,东城 22中 | 东城 买房 上学 | 东城 初中 | 东城 学区选择 | 东城 朝阳 学区 | 东城 西城 学区,69,output/zhihu_dongcheng/markdown/018-请问北京东城区教育资源和前景如何？如果买东城房子需要考虑学区房吗？需要的话有哪些推荐吗？不要老破小。？-23273845441.md
今年蕞稳东城学区也不稳了，龙体有点暴雷，大家怎么看?,三人行,2,0,2025-05-25 05:49:05 CST,2025-05-25 05:49:05 CST,https://www.zhihu.com/question/610431352/answer/1909848416323871449,东城 171 | 东城 171中学 | 东城 九年一贯制 | 东城 史家 | 东城 和平里一小 | 东城 学区选择,69,output/zhihu_dongcheng/markdown/097-今年蕞稳东城学区也不稳了，龙体有点暴雷，大家怎么看-1909848416323871449.md
东城六年一学位怎么理解？,三人行,1,0,2025-07-07 12:10:55 CST,2025-07-07 12:10:55 CST,https://www.zhihu.com/question/521092201/answer/1925527184044429858,东城 731 | 东城 入学政策 | 东城 多校划片 | 东城 幼升小 | 东城 府学 | 东城 派位,69,output/zhihu_dongcheng/markdown/044-东城六年一学位怎么理解？-1925527184044429858.md
2026年北京中考0.5+3直升都有哪些学校有名额？,私立学校指南,0,0,2026-01-14 13:12:48 CST,2026-01-14 13:12:48 CST,https://www.zhihu.com/question/1994698615780816290/answer/1994758840596596287,东城 东直门中学 | 东城区 五中 | 东城区 广渠门中学 | 东城区 直升,69,output/zhihu_dongcheng/markdown/201-2026年北京中考0.5+3直升都有哪些学校有名额？-1994758840596596287.md
北京东城小升初派位公平吗？,启宏,75,28,2020-07-06 09:55:54 CST,2020-08-30 22:25:56 CST,https://www.zhihu.com/question/404640838/answer/1321463096,东城 幼升小 | 东城 府学 | 东城 校额到校 | 东城 派位 | 东城区 全区派位 | 东城区 史家,68,output/zhihu_dongcheng/markdown/059-北京东城小升初派位公平吗？-1321463096.md
在北京买学区房，选择东城还是朝阳？,北京叮当,17,0,2023-08-24 18:14:55 CST,2023-08-24 18:14:55 CST,https://www.zhihu.com/question/442615235/answer/3180854509,东城 22中 | 东城 朝阳 学区 | 北京东城 初中 | 北京东城 学区 | 北京东城 学区房 | 北京学区 东城 西城 海淀,68,output/zhihu_dongcheng/markdown/249-在北京买学区房，选择东城还是朝阳？-3180854509.md
东城龙体片区与北东片区比较，你更倾向于哪个？,三人行,3,0,2024-04-29 14:22:30 CST,2024-04-29 14:22:30 CST,https://www.zhihu.com/question/486738311/answer/3482616002,东城 731 | 东城 龙体 | 东城区 731 | 东城区 初中 | 东城区 龙体,68,output/zhihu_dongcheng/markdown/235-东城龙体片区与北东片区比较，你更倾向于哪个？-3482616002.md
东城学区房现在什么形式？什么时候入手是时机？,北京叮当,11,2,2023-07-29 22:43:41 CST,2023-07-29 22:43:41 CST,https://www.zhihu.com/question/479243466/answer/3141270990,东城 1911 | 东城 731 | 东城 九年一贯制 | 东城 买房 上学 | 东城 学区选择 | 东城 朝阳 学区,66,output/zhihu_dongcheng/markdown/045-东城学区房现在什么形式？什么时候入手是时机？-3141270990.md
请教大神们，孩子将来面临学区问题，学区房买还是不买？,三人行,1,0,2024-12-02 09:33:39 CST,2024-12-02 09:33:39 CST,https://www.zhihu.com/question/51785955/answer/45580784921,东城 和平里一小,66,output/zhihu_dongcheng/markdown/652-请教大神们，孩子将来面临学区问题，学区房买还是不买？-45580784921.md
北京朝阳的学区房是不是智商税？,我叫小博,82,31,2023-10-10 09:02:16 CST,2023-10-10 09:02:16 CST,https://www.zhihu.com/question/419191570/answer/3243572474,东城 九年一贯制 | 东城 朝阳 学区,64,output/zhihu_dongcheng/markdown/671-北京朝阳的学区房是不是智商税？-3243572474.md
北京每个区的学区划分具体是怎样的？,小明,3,0,2025-02-19 21:32:33 CST,2025-02-19 21:32:33 CST,https://www.zhihu.com/question/440474865/answer/105274379940,东城 五中 | 东城 史家 | 东城 多校划片 | 东城 府学 | 东城区 史家 | 东城区 多校划片,64,output/zhihu_dongcheng/markdown/179-北京每个区的学区划分具体是怎样的？-105274379940.md
北京各区小升初对学籍、户籍以及房产要求有何不同?,私立学校指南,1,0,2025-03-06 11:05:58 CST,2025-03-06 11:05:58 CST,https://www.zhihu.com/question/622132009/answer/117636514686,东城 入学政策 | 东城区 小升初 | 北京东城 小升初,64,output/zhihu_dongcheng/markdown/485-北京各区小升初对学籍、户籍以及房产要求有何不同-117636514686.md
没有北京户口，马上上六年级了，要不要留在北京小升初？,三人行,1,0,2025-01-01 10:47:47 CST,2025-01-01 10:47:47 CST,https://www.zhihu.com/question/61909440/answer/68903102968,东城区 幼升小 | 北京东城 小升初,64,output/zhihu_dongcheng/markdown/566-没有北京户口，马上上六年级了，要不要留在北京小升初？-68903102968.md
北京东城和平里学区要换房到海淀吗？,三人行,0,0,2025-03-03 14:00:12 CST,2025-03-03 14:00:12 CST,https://www.zhihu.com/question/465564811/answer/115102217575,东城 和平里 | 东城区 和平里,64,output/zhihu_dongcheng/markdown/317-北京东城和平里学区要换房到海淀吗？-115102217575.md
天永学区和龙体学区哪个好？,京学区字典,3,0,2024-06-06 21:17:01 CST,2024-06-06 21:17:01 CST,https://www.zhihu.com/question/477218863/answer/3522436875,东城 龙体 | 东城 龙潭 体育馆路 | 东城区 天永 | 东城区 龙潭 体育馆路,63,output/zhihu_dongcheng/markdown/360-天永学区和龙体学区哪个好？-3522436875.md
东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？,京选置家,1,0,2023-09-07 17:27:04 CST,2023-09-07 17:27:04 CST,https://www.zhihu.com/question/452275167/answer/3201241764,东城 府学 | 东城区 府学 | 府学 胡同 小学 东城,63,output/zhihu_dongcheng/markdown/310-东城交道口府学学区和西城陶白学区，二选一，让孩子落户哪里？-3201241764.md
2026年北京小升初政策如何？,私立学校指南,0,0,2026-04-21 13:20:29 CST,2026-04-21 13:20:29 CST,https://www.zhihu.com/question/2029501906028905846/answer/2029912395888485995,北京东城 幼升小,63,output/zhihu_dongcheng/markdown/655-2026年北京小升初政策如何？-2029912395888485995.md
171中学和汇文中学高中哪个好?,京考升学圈,4,0,2023-05-14 18:02:04 CST,2023-05-14 18:02:04 CST,https://www.zhihu.com/question/538304633/answer/3027585672,东城 171 | 东城 171中学 | 东城 汇文中学 | 东城区 171中学 | 东城区 汇文中学,62,output/zhihu_dongcheng/markdown/324-171中学和汇文中学高中哪个好-3027585672.md
东城的五十中和海淀的五十七中学那个好？,来往无忧,3,6,2022-04-09 19:00:53 CST,2022-04-09 19:00:53 CST,https://www.zhihu.com/question/421474945/answer/2431318452,东城 广渠门中学 | 东城 文汇中学 | 东城 汇文中学 | 东城 龙潭 体育馆路 | 东城区 文汇中学 | 东城区 汇文中学,62,output/zhihu_dongcheng/markdown/166-东城的五十中和海淀的五十七中学那个好？-2431318452.md
8月底缴东城二环学区大房定金50万，单价不到8万。但换的东坝房产从670万降到600万没卖出，咋办？,三人行,1,0,2025-05-15 09:31:42 CST,2025-05-15 09:31:42 CST,https://www.zhihu.com/question/299420882/answer/1906280558184621033,东城 买房 上学 | 东城 分司厅 | 东城 学区选择 | 东城 安交 | 东城 派位 | 东城区 学区房,62,output/zhihu_dongcheng/markdown/098-8月底缴东城二环学区大房定金50万，单价不到8万。但换的东坝房产从670万降到600万没卖出，咋办？-1906280558184621033.md
东城西城哪几个学区性价比最高相对安全？,云上观房,1,0,2025-01-22 18:49:41 CST,2025-01-22 18:49:41 CST,https://www.zhihu.com/question/470439287/answer/84904532071,东城 1911 | 东城 东崇前 | 东城 中招 | 东城 入学政策 | 东城 学区选择 | 东城 学校排名,62,output/zhihu_dongcheng/markdown/021-东城西城哪几个学区性价比最高相对安全？-84904532071.md
北京升小学/初中有哪些需要提前了解的时间节点？,私立学校指南,0,0,2026-04-16 13:04:07 CST,2026-04-16 13:04:07 CST,https://www.zhihu.com/question/2027674510015374126/answer/2028096337804009533,东城区 义务教育 入学,62,output/zhihu_dongcheng/markdown/418-北京升小学-初中有哪些需要提前了解的时间节点？-2028096337804009533.md
北京新学区可能会出现在什么位置？,云上观房,19,8,2025-11-07 08:01:24 CST,2025-11-07 08:01:24 CST,https://www.zhihu.com/question/40950073/answer/1970038101368873541,东城 171 | 东城 九年一贯制 | 东城 史家 | 东城 多校划片 | 东城 文汇中学 | 东城 景山 东华门,61,output/zhihu_dongcheng/markdown/131-北京新学区可能会出现在什么位置？-1970038101368873541.md
北京学区房，600万预算，买东城最差还是丰台较好？,北京叮当,1,0,2023-05-15 15:07:00 CST,2023-07-19 09:35:10 CST,https://www.zhihu.com/question/521165950/answer/3028845279,东城 22中 | 东城 55中 | 东城 东直门中学 | 东城 北东 | 东城 和平里 | 东城 和平里一小,61,output/zhihu_dongcheng/markdown/050-北京学区房，600万预算，买东城最差还是丰台较好？-3028845279.md
北京东城区幼升小问题？,小T聊上学,0,0,2024-12-04 13:08:34 CST,2024-12-04 13:08:34 CST,https://www.zhihu.com/question/312098795/answer/47480110695,东城 入学政策 | 东城 幼升小 | 东城区 义务教育 入学 | 东城区 入学政策 | 东城区 幼升小 | 北京东城 幼升小,61,output/zhihu_dongcheng/markdown/124-北京东城区幼升小问题？-47480110695.md
你如何看待小升初采用摇号的方式？,启宏,38,8,2020-10-08 21:30:15 CST,2020-10-08 21:30:15 CST,https://www.zhihu.com/question/270629422/answer/1513512260,东城 幼升小 | 东城 派位 | 东城区 全区派位,60,output/zhihu_dongcheng/markdown/381-你如何看待小升初采用摇号的方式？-1513512260.md
请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？,云上观房,15,1,2024-08-27 21:20:46 CST,2024-08-27 21:20:46 CST,https://www.zhihu.com/question/459115429/answer/3607979072,东城 朝阳 学区,60,output/zhihu_dongcheng/markdown/606-请问北京朝阳区教育资源和前景如何？如果买学区房的话在朝阳买有意义吗？-3607979072.md
在北京500万左右首付可以买到哪些好的学区房？,小启看房,4,0,2024-02-20 15:57:53 CST,2024-02-20 15:57:53 CST,https://www.zhihu.com/question/645024124/answer/3402576599,东城 天永 | 东城 学区选择 | 东城 龙体 | 北京东城 学区 | 北京东城 学区房,60,output/zhihu_dongcheng/markdown/326-在北京500万左右首付可以买到哪些好的学区房？-3402576599.md
北京中考志愿录取结果出了之后，如果没录取，有哪些学校有补录？,京都高中升学,3,0,2025-07-30 10:48:25 CST,2025-07-30 10:48:25 CST,https://www.zhihu.com/question/1930911126603933566/answer/1933841344935228607,东城 中招,60,output/zhihu_dongcheng/markdown/507-北京中考志愿录取结果出了之后，如果没录取，有哪些学校有补录？-1933841344935228607.md
西城区小升初是什么体验？,efic wang,2,0,2026-04-15 16:43:00 CST,2026-04-15 16:46:47 CST,https://www.zhihu.com/question/459428140/answer/2027789033439241104,东城 西城 学区 | 东城区 全区派位,60,output/zhihu_dongcheng/markdown/449-西城区小升初是什么体验？-2027789033439241104.md
北京东城区幼升小的政策是怎么样的？,私立学校指南,0,0,2024-10-22 13:15:37 CST,2024-10-22 13:15:37 CST,https://www.zhihu.com/question/653956425/answer/11762607290,东城 入学政策 | 东城 幼升小 | 东城区 入学政策 | 东城区 小学 | 东城区 幼升小 | 北京东城 幼升小,60,output/zhihu_dongcheng/markdown/115-北京东城区幼升小的政策是怎么样的？-11762607290.md
北京孩子上户口，根据学区划分选在哪里比较好？,三人行,0,0,2025-04-14 10:17:47 CST,2025-04-14 10:17:47 CST,https://www.zhihu.com/question/583670753/answer/1895058132943741975,东城 和平里一小 | 东城 多校划片,60,output/zhihu_dongcheng/markdown/372-北京孩子上户口，根据学区划分选在哪里比较好？-1895058132943741975.md
北京孩子，想跨区升初中可以吗，有哪些要求？,私立学校指南,0,0,2026-04-15 13:02:16 CST,2026-04-15 13:02:16 CST,https://www.zhihu.com/question/2027673711822615869/answer/2027733485876454991,东城 初中 | 东城区 初中 | 北京东城 小升初,59,output/zhihu_dongcheng/markdown/486-北京孩子，想跨区升初中可以吗，有哪些要求？-2027733485876454991.md
东城区小升初政策是什么样的？派位有何填报技巧？若有选拔，如何准备？,北京叮当,15,0,2023-10-13 18:24:55 CST,2023-10-13 18:24:55 CST,https://www.zhihu.com/question/583801379/answer/3248611105,东城 一派 二派 三派 | 东城 入学政策 | 东城 初中 | 东城 派位 | 东城 调剂 | 东城区 义务教育 入学,58,output/zhihu_dongcheng/markdown/063-东城区小升初政策是什么样的？派位有何填报技巧？若有选拔，如何准备？-3248611105.md
北京东城小升初派位公平吗？,北京叮当,7,1,2023-09-20 14:48:52 CST,2023-09-20 14:48:52 CST,https://www.zhihu.com/question/404640838/answer/3219243454,东城 一派 二派 三派 | 东城 入学政策 | 东城 初中 | 东城区 义务教育 入学 | 东城区 入学政策 | 东城区 全区派位,58,output/zhihu_dongcheng/markdown/091-北京东城小升初派位公平吗？-3219243454.md
北京西城广牛学区，还是东城安交学区/和平里学区？,云上观房,1,0,2025-01-12 13:13:54 CST,2025-01-12 13:13:54 CST,https://www.zhihu.com/question/629266672/answer/77381819438,东城 和平里一小 | 东城 安交 | 东城 西城 学区 | 东城区 和平里一小 | 东城区 安交,58,output/zhihu_dongcheng/markdown/275-北京西城广牛学区，还是东城安交学区-和平里学区？-77381819438.md
2026年北京幼升小政策如何？,私立学校指南,0,0,2026-04-20 13:33:10 CST,2026-04-20 13:33:10 CST,https://www.zhihu.com/question/2029501854145417261/answer/2029553203281150567,北京东城 幼升小,58,output/zhihu_dongcheng/markdown/718-2026年北京幼升小政策如何？-2029553203281150567.md
国家会取消学区房改为凭成绩上学吗?,McCoziness,12,0,2025-01-21 13:19:57 CST,2025-01-21 13:19:57 CST,https://www.zhihu.com/question/385025861/answer/83945642138,东城区 分司厅 | 东城区 府学,57,output/zhihu_dongcheng/markdown/368-国家会取消学区房改为凭成绩上学吗-83945642138.md
2023年东城学区买房，有没有最全东城学区解答？,我叫小博,1,0,2023-09-11 09:24:27 CST,2023-09-29 21:05:48 CST,https://www.zhihu.com/question/579274092/answer/3205890098,东城 东四 朝阳门 建国门 | 东城 五中 | 东城 分司厅 | 东城 北新桥 东直门 | 东城 史家 | 东城 和平里一小,57,output/zhihu_dongcheng/markdown/054-2023年东城学区买房，有没有最全东城学区解答？-3205890098.md
怎样评价北京学区房多校划片、六年一名额新政？,三人行,0,0,2025-04-06 11:27:01 CST,2025-04-06 11:27:01 CST,https://www.zhihu.com/question/392758408/answer/1892176451484225653,东城 多校划片,57,output/zhihu_dongcheng/markdown/525-怎样评价北京学区房多校划片、六年一名额新政？-1892176451484225653.md
